Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
0,"[23.63, 86.28]",0,0,361.8271,0.2702,Dhanbad,Rejected,0.0,0.0,0.0,0.0
1,"[23.64, 86.28]",0,1,2509.2708,0.5568,Dhanbad,Rejected,0.0,0.0,0.0,0.0
2,"[23.65, 86.28]",0,0,1272.9163,0.625,Dhanbad,Rejected,0.0,0.0,0.0,0.0
3,"[23.66, 86.28]",0,0,1354.2420000000002,0.2516,Dhanbad,Rejected,0.0,0.0,0.0,0.0
4,"[23.67, 86.28]",2,0,1485.3153,0.4465,Dhanbad,Rejected,0.0,0.0,0.0,0.0
5,"[23.68, 86.28]",0,0,0.0,0.1708,Dhanbad,Rejected,0.0,0.0,0.0,0.0
6,"[23.69, 86.28]",0,0,0.0,0.0,Dhanbad,Rejected,0.0,0.0,0.0,0.0
7,"[23.7, 86.28]",0,0,0.0,0.0,Dhanbad,Rejected,0.0,0.0,0.0,0.0
8,"[23.71, 86.28]",0,0,0.0,0.0,Dhanbad,Rejected,0.0,0.0,0.0,0.0
9,"[23.72, 86.28]",0,0,0.0,0.0,Dhanbad,Rejected,0.0,0.0,0.0,0.0
10,"[23.73, 86.28]",0,0,0.0,0.1341,Dhanbad,Rejected,0.0,0.0,0.0,0.0
11,"[23.74, 86.28]",0,0,884.3760000000001,0.46,Dhanbad,Rejected,0.0,0.0,0.0,0.0
12,"[23.75, 86.28]",0,0,149.7316,0.381,Dhanbad,Rejected,0.0,0.0,0.0,0.0
13,"[23.76, 86.28]",0,0,0.0,0.1285,Dhanbad,Rejected,0.0,0.0,0.0,0.0
14,"[23.77, 86.28]",0,0,0.0,0.1701,Dhanbad,Rejected,0.0,0.0,0.0,0.0
15,"[23.78, 86.28]",0,0,0.0,0.2036,Dhanbad,Rejected,0.0,0.0,0.0,0.0
16,"[23.79, 86.28]",0,0,194.1955,0.3561,Dhanbad,Rejected,0.0,0.0,0.0,0.0
17,"[23.8, 86.28]",0,0,1329.1465,0.2307,Dhanbad,Rejected,0.0,0.0,0.0,0.0
18,"[23.81, 86.28]",1,0,1747.9203,0.5071,Dhanbad,Rejected,0.0,0.0,0.0,0.0
19,"[23.82, 86.28]",2,0,2362.6238,0.6049,Dhanbad,Rejected,0.0,0.0,0.0,0.0
20,"[23.83, 86.28]",1,0,704.4214,0.4515,Dhanbad,Rejected,0.0,0.0,0.0,0.0
21,"[23.84, 86.28]",0,0,0.0,0.1372,Dhanbad,Rejected,0.0,0.0,0.0,0.0
22,"[23.85, 86.28]",0,0,0.0,0.3721,Dhanbad,Rejected,0.0,0.0,0.0,0.0
23,"[23.86, 86.28]",0,0,0.0,0.2919,Dhanbad,Rejected,0.0,0.0,0.145833,0.0
24,"[23.87, 86.28]",0,0,0.0,0.2206,Dhanbad,Rejected,0.0,0.0,0.48930200000000007,0.0
25,"[23.88, 86.28]",0,0,1576.4231,0.3573,Dhanbad,Rural,0.0,0.0,0.661732,0.0
26,"[23.89, 86.28]",0,0,0.0,0.0976,Dhanbad,Rural,0.0,0.0,0.574887,0.0
27,"[23.9, 86.28]",0,0,0.0,0.0,Dhanbad,Rejected,0.0,0.0,0.032095,0.0
28,"[23.91, 86.28]",0,0,0.0,0.0,Dhanbad,Rejected,0.0,0.0,0.0,0.0
29,"[23.92, 86.28]",0,0,0.0,0.0,Dhanbad,Rejected,0.0,0.0,0.0,0.0
30,"[23.93, 86.28]",0,0,0.0,0.0,Dhanbad,Rejected,0.0,0.0,0.0,0.0
31,"[23.94, 86.28]",0,0,0.0,0.0,Dhanbad,Rejected,0.0,0.0,0.0,0.0
32,"[23.95, 86.28]",0,0,0.0,0.0,Dhanbad,Rejected,0.0,0.0,0.0,0.0
33,"[23.96, 86.28]",0,0,0.0,0.0,Dhanbad,Rejected,0.0,0.0,0.0,0.0
34,"[23.97, 86.28]",0,0,0.0,0.3409,Dhanbad,Rejected,0.0,0.0,0.0,0.0
35,"[23.98, 86.28]",0,0,1451.3053,0.6076,Dhanbad,Rejected,0.0,0.0,0.0,0.0
36,"[23.99, 86.28]",0,0,0.0,0.293,Dhanbad,Rejected,0.0,0.0,0.0,0.0
37,"[24.0, 86.28]",0,0,0.0,0.0,Dhanbad,Rejected,0.0,0.0,0.0,0.0
38,"[24.01, 86.28]",0,0,0.0,0.0,Dhanbad,Rejected,0.0,0.0,0.0,0.0
39,"[24.02, 86.28]",0,0,0.0,0.0,Dhanbad,Rejected,0.0,0.0,0.0,0.0
40,"[24.03, 86.28]",0,0,0.0,0.1402,Dhanbad,Rejected,0.0,0.0,0.0,0.0
41,"[24.04, 86.28]",0,0,0.0,0.3417,Dhanbad,Rejected,0.0,0.0,0.0,0.0
42,"[24.05, 86.28]",0,0,1137.3147,0.5137,Dhanbad,Rejected,0.0,0.0,0.0,0.0
43,"[23.63, 86.29]",0,0,0.0,0.1535,Dhanbad,Rejected,0.0,0.0,0.0,0.0
44,"[23.64, 86.29]",0,0,670.8768,0.2771,Dhanbad,Rejected,0.0,0.0,0.0,0.0
45,"[23.65, 86.29]",0,0,0.0,0.1193,Dhanbad,Rejected,0.0,0.0,0.0,0.0
