Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
0,"[25.47, 89.69]",0,0,0.0,0.0,Dhubri,Rejected,0.0,0.0,0.0,0.0
1,"[25.48, 89.69]",0,0,0.0,0.0,Dhubri,Rejected,0.0,0.0,0.0,0.0
2,"[25.49, 89.69]",0,0,0.0,0.1453,Dhubri,Rejected,0.0,0.0,0.0,0.0
3,"[25.5, 89.69]",0,0,0.0,0.1519,Dhubri,Rejected,0.0,0.0,0.0,0.0
4,"[25.51, 89.69]",0,0,295.0307,0.3519,Dhubri,Rejected,0.0,0.0,0.0,0.0
5,"[25.52, 89.69]",0,0,517.2894,0.5524,Dhubri,Rejected,0.0,0.0,0.0,0.0
6,"[25.53, 89.69]",0,0,0.0,0.2186,Dhubri,Rejected,0.0,0.0,0.0,0.0
7,"[25.54, 89.69]",0,0,0.0,0.1431,Dhubri,Rejected,0.0,0.0,0.0,0.0
8,"[25.55, 89.69]",0,0,0.0,0.3356,Dhubri,Rejected,0.0,0.0,0.0,0.0
9,"[25.56, 89.69]",0,0,0.0,0.3274,Dhubri,Rejected,0.0,0.0,0.0,0.0
10,"[25.57, 89.69]",6,0,2433.5902,0.47100000000000003,Dhubri,Rejected,0.0,0.0,0.0,0.0
11,"[25.58, 89.69]",0,0,123.965,0.217,Dhubri,Rejected,0.0,0.0,0.0,0.0
12,"[25.59, 89.69]",1,0,219.8348,0.4083,Dhubri,Rejected,0.0,0.0,0.0,0.0
13,"[25.6, 89.69]",0,0,0.0,0.0893,Dhubri,Rejected,0.0,0.0,0.0,0.0
14,"[25.61, 89.69]",0,0,0.0,0.0,Dhubri,Rejected,0.0,0.0,0.0,0.0
15,"[25.62, 89.69]",0,0,0.0,0.3134,Dhubri,Rejected,0.0,0.0,0.0,0.0
16,"[25.63, 89.69]",0,0,934.4357,0.4205,Dhubri,Rejected,0.0,0.0,0.0,0.0
17,"[25.64, 89.69]",3,1,2905.6414,0.3841,Dhubri,Rejected,0.0,0.0,0.0,0.0
18,"[25.65, 89.69]",2,0,2211.0662,0.2821,Dhubri,Rejected,0.0,0.0,0.0,0.0
19,"[25.66, 89.69]",6,1,2905.3844,0.5065,Dhubri,Rejected,0.0,0.0,0.0,0.0
20,"[25.67, 89.69]",1,0,1061.0502,0.1888,Dhubri,Rejected,0.0,0.0,0.0,0.0
21,"[25.68, 89.69]",1,0,549.7497,0.2245,Dhubri,Rejected,0.0,0.0,0.0,0.0
22,"[25.69, 89.69]",0,0,368.0181,0.1288,Dhubri,Rejected,0.0,0.0,0.0,0.0
23,"[25.7, 89.69]",5,1,2177.6899,0.1783,Dhubri,Rejected,0.0,0.0,0.0,0.0
