Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
0,"[26.89, 79.67]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
1,"[26.9, 79.67]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
2,"[26.91, 79.67]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
3,"[26.92, 79.67]",0,0,0.0,0.3442,Hardoi,Rejected,0.0,0.0,0.0,0.0
4,"[26.93, 79.67]",0,0,1300.1537,0.5299,Hardoi,Rejected,0.0,0.0,0.0,0.0
5,"[26.94, 79.67]",0,0,1152.0062,0.5133,Hardoi,Rejected,0.0,0.0,0.0,0.0
6,"[26.95, 79.67]",0,0,0.0,0.2231,Hardoi,Rejected,0.0,0.0,0.0,0.0
7,"[26.96, 79.67]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
8,"[26.97, 79.67]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
9,"[26.98, 79.67]",0,0,0.0,0.3887,Hardoi,Rejected,0.0,0.0,0.0,0.0
10,"[26.99, 79.67]",0,0,1354.2624,0.6264,Hardoi,Rejected,0.0,0.0,0.0,0.0
11,"[27.0, 79.67]",0,0,0.0,0.3156,Hardoi,Rejected,0.0,0.0,0.0,0.0
12,"[27.01, 79.67]",0,0,268.1241,0.3495,Hardoi,Rejected,0.0,0.0,0.0,0.0
13,"[27.02, 79.67]",1,0,1999.2893,0.5374,Hardoi,Rejected,0.0,0.0,0.0,0.0
14,"[27.03, 79.67]",0,0,0.0,0.3541,Hardoi,Rejected,0.0,0.0,0.0,0.0
15,"[27.04, 79.67]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
16,"[27.05, 79.67]",0,0,0.0,0.1672,Hardoi,Rejected,0.0,0.0,0.0,0.0
17,"[27.06, 79.67]",0,0,28.3302,0.45799999999999996,Hardoi,Rejected,0.0,0.0,0.0,0.0
18,"[27.07, 79.67]",0,1,3375.9245,0.3567,Hardoi,Rejected,0.0,0.0,0.0,0.0
19,"[27.08, 79.67]",0,0,0.0,0.2255,Hardoi,Rejected,0.0,0.0,0.0,0.0
20,"[27.09, 79.67]",0,0,0.0,0.0,Hardoi,Rejected,0.0,0.0,0.0,0.0
21,"[27.1, 79.67]",0,0,0.0,0.2036,Hardoi,Rejected,0.0,0.0,0.0,0.0
22,"[27.11, 79.67]",0,0,378.5535,0.6315,Hardoi,Rejected,0.0,0.0,0.0,0.0
23,"[27.12, 79.67]",0,1,2076.2705,0.565,Hardoi,Rejected,0.0,0.0,0.0,0.0
24,"[27.13, 79.67]",0,0,0.0,0.4079,Hardoi,Rejected,0.0,0.0,0.0,0.0
25,"[27.14, 79.67]",0,0,0.0,0.3222,Hardoi,Rejected,0.0,0.0,0.0,0.0
26,"[27.15, 79.67]",1,0,1010.1676,0.5379,Hardoi,Rejected,0.0,0.0,0.0,0.0
27,"[27.16, 79.67]",12,0,5049.8241,0.5375,Hardoi,Rejected,0.0,0.0,0.0,0.0
28,"[27.17, 79.67]",9,1,2713.3995,0.5039,Hardoi,Rejected,0.0,0.0,0.0,0.0
29,"[27.18, 79.67]",7,0,1877.3425,0.4517,Hardoi,Rejected,0.0,0.0,0.0,0.0
30,"[27.19, 79.67]",10,0,2012.0478,0.3809,Hardoi,Rejected,0.0,0.0,0.0,0.0
31,"[27.2, 79.67]",7,0,2291.9409,0.4294,Hardoi,Rejected,0.0,0.0,0.0,0.0
32,"[27.21, 79.67]",5,2,3713.6234,0.5374,Hardoi,Rejected,0.0,0.0,0.0,0.0
33,"[27.22, 79.67]",5,0,1945.104,0.3546,Hardoi,Rejected,0.0,0.0,0.0,0.0
34,"[27.23, 79.67]",30,5,7070.9119,0.581,Hardoi,Rejected,0.0,0.0,0.0,0.0
35,"[27.24, 79.67]",0,0,351.4417,0.35700000000000004,Hardoi,Rejected,0.0,0.0,0.0,0.0
36,"[27.25, 79.67]",0,0,0.0,0.1625,Hardoi,Rejected,0.0,0.0,0.0,0.0
37,"[27.26, 79.67]",0,0,0.0,0.2668,Hardoi,Rejected,0.0,0.0,0.0,0.0
38,"[27.27, 79.67]",0,0,0.0,0.4061,Hardoi,Rejected,0.0,0.0,0.0,0.0
39,"[27.28, 79.67]",0,0,0.0,0.0919,Hardoi,Rejected,0.0,0.0,0.0,0.0
40,"[27.29, 79.67]",0,0,0.0,0.3498,Hardoi,Rejected,0.0,0.0,0.0,0.0
41,"[27.3, 79.67]",0,0,660.6505,0.4331,Hardoi,Rejected,0.0,0.0,0.0,0.0
42,"[27.31, 79.67]",0,0,51.8959,0.3328,Hardoi,Rejected,0.0,0.0,0.0,0.0
43,"[27.32, 79.67]",0,0,0.0,0.209,Hardoi,Rejected,0.0,0.0,0.0,0.0
44,"[27.33, 79.67]",2,0,1951.911,0.5846,Hardoi,Rejected,0.0,0.0,0.0,0.0
45,"[27.34, 79.67]",3,0,2617.784,0.5442,Hardoi,Rejected,0.0,0.0,0.0,0.0
46,"[27.35, 79.67]",0,0,1589.6541,0.2763,Hardoi,Rejected,0.0,0.0,0.0,0.0
47,"[27.36, 79.67]",4,0,1923.2697,0.5368,Hardoi,Rejected,0.0,0.0,0.0,0.0
48,"[27.37, 79.67]",7,0,3394.0116,0.546,Hardoi,Rejected,0.0,0.0,0.0,0.0
49,"[27.38, 79.67]",36,2,7649.4531,0.5238,Hardoi,Rejected,0.0,0.0,0.0,0.0
50,"[27.39, 79.67]",4,1,3728.8611,0.5525,Hardoi,Rejected,0.0,0.0,0.0,0.0
51,"[27.4, 79.67]",15,1,4188.2467,0.5753,Hardoi,Rejected,0.0,0.0,0.0,0.0
