Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
0,"[24.36, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
1,"[24.37, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
2,"[24.38, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
3,"[24.39, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
4,"[24.4, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
5,"[24.41, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
6,"[24.42, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
7,"[24.43, 85.82]",0,0,0.0,0.2462,Jamui,Rejected,0.0,0.0,0.0,0.0
8,"[24.44, 85.82]",0,0,892.2193,0.618,Jamui,Rejected,0.0,0.0,0.0,0.0
9,"[24.45, 85.82]",0,0,0.0,0.2016,Jamui,Rejected,0.0,0.0,0.0,0.0
10,"[24.46, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
11,"[24.47, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
12,"[24.48, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
13,"[24.49, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
14,"[24.5, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
15,"[24.51, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
16,"[24.52, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
17,"[24.53, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
18,"[24.54, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
19,"[24.55, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
20,"[24.56, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
21,"[24.57, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
22,"[24.58, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
23,"[24.59, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
24,"[24.6, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
25,"[24.61, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
26,"[24.62, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
27,"[24.63, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
28,"[24.64, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
29,"[24.65, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
30,"[24.66, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
31,"[24.67, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
32,"[24.68, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
33,"[24.69, 85.82]",0,0,0.0,0.1706,Jamui,Rejected,0.0,0.0,0.0,0.0
34,"[24.7, 85.82]",0,0,1028.4297,0.5336,Jamui,Rejected,0.0,0.0,0.0,0.0
35,"[24.71, 85.82]",0,0,0.0,0.284,Jamui,Rejected,0.0,0.0,0.0,0.0
36,"[24.72, 85.82]",0,0,0.0,0.1277,Jamui,Rejected,0.0,0.0,0.0,0.0
37,"[24.73, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
38,"[24.74, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
39,"[24.75, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
40,"[24.76, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
41,"[24.77, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
42,"[24.78, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
43,"[24.79, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
44,"[24.8, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
45,"[24.81, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
46,"[24.82, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
47,"[24.83, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
48,"[24.84, 85.82]",0,0,0.0,0.2195,Jamui,Rejected,0.0,0.0,0.0,0.0
49,"[24.85, 85.82]",0,0,1038.0357,0.626,Jamui,Rejected,0.0,0.0,0.0,0.0
50,"[24.86, 85.82]",0,0,0.0,0.2115,Jamui,Rejected,0.0,0.0,0.0,0.0
51,"[24.87, 85.82]",0,0,0.0,0.2053,Jamui,Rejected,0.0,0.0,0.0,0.0
52,"[24.88, 85.82]",0,0,0.0,0.2561,Jamui,Rejected,0.0,0.0,0.0,0.0
53,"[24.89, 85.82]",0,0,948.6847,0.5003,Jamui,Rejected,0.0,0.0,0.0,0.0
54,"[24.9, 85.82]",0,0,514.8611,0.45,Jamui,Rejected,0.0,0.0,0.0,0.0
55,"[24.91, 85.82]",0,0,0.0,0.1877,Jamui,Rejected,0.0,0.0,0.21256399999999998,0.0
56,"[24.92, 85.82]",0,0,0.0,0.1452,Jamui,Rural,0.0,0.0,0.814367,0.0
57,"[24.93, 85.82]",0,0,0.0,0.3623,Jamui,Rural,0.0,0.0,0.556611,0.0
58,"[24.94, 85.82]",1,0,1060.3518,0.5139,Jamui,Rejected,0.0,0.0,0.432432,0.0
59,"[24.95, 85.82]",0,0,0.0,0.3471,Jamui,Rejected,0.0,0.0,0.0,0.0
60,"[24.96, 85.82]",0,0,0.0,0.4194,Jamui,Rejected,0.0,0.0,0.0,0.0
61,"[24.97, 85.82]",0,0,0.0,0.2445,Jamui,Rejected,0.0,0.0,0.0,0.0
62,"[24.98, 85.82]",0,0,0.0,0.1573,Jamui,Rejected,0.0,0.0,0.0,0.0
63,"[24.99, 85.82]",0,0,0.0,0.1215,Jamui,Rejected,0.0,0.0,0.0,0.0
64,"[25.0, 85.82]",0,0,0.0,0.0,Jamui,Rejected,0.0,0.0,0.0,0.0
