District_Name,MinLat,MaxLat,MinLong,MaxLong
Bangalore,12.64825344,13.22328091,77.32221985,77.82559967
Chennai,12.95175743,13.13380051,80.16964722,80.30596924
Delhi,28.40846062,28.88451385,76.83291626,77.33773804
Gurgaon,28.20498276,28.54278183,76.63648224,77.23221588
Hyderabad,17.29707146,17.47178841,78.38410187,78.53453064
Kolkata,22.4949379,22.62974167,88.27065277,88.40731049
Mumbai,18.89,19.27,72.77,72.99
Dhanbad,23.63,24.06,86.28,86.82
Jamui,24.36,25.15,85.82,86.62
Dhubri,25.47,26.42,89.69,90.48
Bokaro,23.41,23.97,85.57,86.47
Hardoi,26.89,27.80,79.67,80.82
