Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
0,None,None,None,None,None,None,None,None,None,None,None,None
1,None,None,None,None,None,[[23.4223356 85.5783466]],None,None,None,None,None,None
2,None,None,None,None,None,None,None,None,None,None,None,None
3,None,None,None,None,None,None,None,None,None,None,None,None
4,[[23.4572474 85.5791838]],None,None,None,None,None,None,None,None,None,None,None
5,[[23.4615552 85.5755055]],None,None,None,None,None,None,None,None,None,None,None
6,[[23.4769953 85.5780847]],None,None,None,None,None,None,None,None,None,None,None
7,None,None,None,None,None,None,[[23.4839498 85.5761252]],None,None,None,None,None
8,None,None,None,None,None,None,None,None,None,None,None,None
9,None,None,None,None,None,None,None,None,None,None,None,None
10,None,None,None,None,None,None,None,None,None,None,None,None
11,None,None,None,None,None,None,None,None,None,None,None,None
12,[[23.5398015 85.5765901]],None,None,None,None,None,[[23.5383831 85.5789357]],None,None,None,None,None
13,None,None,None,None,None,None,None,None,None,None,None,None
14,None,None,None,None,None,None,None,None,None,None,None,None
15,"[[23.5637139 85.5754855]
 [23.5637628 85.5754404]
 [23.5637217 85.5754222]]",[[23.5637217 85.5754222]],None,None,None,None,None,None,None,None,None,None
16,None,None,None,None,None,None,None,None,None,None,None,None
17,"[[23.5889177 85.5788127]
 [23.584425  85.5793266]]",None,None,None,None,None,None,None,None,None,None,None
18,None,None,None,None,None,None,None,None,None,None,None,None
19,None,None,None,None,None,None,None,None,None,None,None,None
20,None,None,None,None,None,None,None,None,None,None,None,None
21,None,None,None,None,None,None,None,None,None,None,None,None
22,None,None,None,None,None,None,None,None,None,None,None,None
23,None,None,None,None,None,None,None,None,None,None,None,None
24,[[23.6522887 85.5759671]],None,None,None,None,None,None,None,None,None,None,None
25,[[23.66031805 85.57540445]],None,None,None,None,None,None,None,None,None,None,None
26,None,None,None,None,None,None,None,None,None,None,None,None
27,"[[23.686504  85.5751229]
 [23.6839971 85.5748711]
 [23.6839388 85.5747811]]",None,None,None,None,None,None,None,None,None,None,None
28,None,None,None,None,None,None,None,None,None,None,None,None
29,None,None,None,None,None,None,None,None,None,None,None,None
30,None,None,None,None,None,None,None,None,None,None,None,None
31,[[23.7267238 85.5794302]],None,None,None,None,None,None,None,None,None,None,None
32,[[23.7312716 85.5743642]],None,None,None,None,None,None,None,None,None,None,None
33,None,None,None,None,None,None,None,None,None,None,None,None
34,None,None,None,None,None,None,None,None,None,None,None,None
35,None,None,None,None,None,None,None,None,None,None,None,None
