Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
0,None,None,None,None,None,None,None,None,None,None,None,None
1,None,None,None,None,None,None,None,None,None,None,None,None
2,[[23.654418  86.2863378]],None,None,None,None,None,None,None,None,None,None,None
3,None,None,None,None,None,None,None,None,None,None,None,None
4,"[[23.6706347 86.2825347]
 [23.6751892 86.2845804]
 [23.6711739 86.2828723]]",None,None,None,None,None,None,None,None,[[23.6702475 86.2821743]],None,None
5,"[[23.6805315 86.28545  ]
 [23.6857809 86.2896472]]",None,None,None,None,None,None,None,None,None,None,[[23.68146  86.286194]]
6,None,None,None,None,None,None,None,None,None,[[23.6966283 86.2875428]],None,None
7,None,None,None,None,None,None,None,None,None,None,None,None
8,[[23.7106898 86.2842699]],None,None,None,None,None,None,None,None,None,None,None
9,None,None,None,None,None,None,None,None,None,None,None,None
10,[[23.7340174 86.2802559]],None,None,None,None,None,None,None,None,None,None,None
11,"[[23.7406875 86.2889724]
 [23.7409855 86.2833431]
 [23.7453634 86.2827305]
 [23.7453983 86.2826567]
 [23.7466723 86.2812057]]","[[23.7407263 86.2888577]
 [23.7409855 86.2833431]
 [23.7453634 86.2827305]]",None,None,None,[[23.7480578 86.28068  ]],None,None,None,[[23.7467825 86.280853 ]],None,None
12,None,None,None,None,None,None,None,None,None,None,None,None
13,None,None,None,None,None,None,None,None,None,None,None,None
14,None,None,None,None,None,None,None,None,None,None,None,None
15,[[23.7847499 86.2813036]],None,None,None,None,None,None,None,None,None,None,None
16,"[[23.7916751 86.2882603]
 [23.7971456 86.2890539]]",None,None,None,None,None,None,None,None,None,None,None
17,"[[23.8019971 86.2800923]
 [23.8071965 86.2806297]
 [23.8072085 86.2805985]]",None,None,None,None,None,None,None,None,None,None,None
18,"[[23.8115305 86.2876993]
 [23.8119673 86.2872541]
 [23.812373  86.289951 ]
 [23.812712  86.289669 ]
 [23.813873  86.2858117]
 [23.8137329 86.2846782]]",[[23.8119673 86.2872541]],None,None,None,None,None,None,None,"[[23.8153388 86.2893673]
 [23.8183634 86.2846806]
 [23.8193751 86.2842148]
 [23.8126476 86.2868326]
 [23.812667  86.286153 ]]",None,None
19,"[[23.821123  86.285124 ]
 [23.8217931 86.2836426]
 [23.8252038 86.2848337]
 [23.8238681 86.2809619]
 [23.8284448 86.2822679]]",[[23.821123 86.285124]],None,None,[[23.8257    86.2881803]],[[23.8207924 86.283512 ]],None,None,[[23.8205231 86.2893295]],[[23.8214905 86.2857199]],None,None
20,"[[23.8394001 86.2832539]
 [23.8329365 86.2810069]
 [23.8331313 86.2808071]]",None,None,None,None,None,None,None,None,None,None,None
21,[[23.849677 86.286982]],None,None,None,None,None,None,None,None,None,None,[[23.8429859 86.2897479]]
22,"[[23.859558  86.2883813]
 [23.8591785 86.2883914]
 [23.8525194 86.2844131]]",None,None,None,None,None,None,None,None,None,None,None
23,[[23.8629448 86.2856819]],None,None,None,None,None,None,None,None,None,None,None
24,"[[23.8745077 86.2856079]
 [23.8742114 86.2833935]]",None,None,None,None,None,None,None,None,None,None,None
25,None,None,None,None,None,None,None,None,None,None,None,None
26,[[23.8919639 86.2802028]],None,None,None,None,None,None,None,None,None,None,None
27,[[23.9087468 86.280678 ]],None,None,None,None,None,None,None,None,None,None,None
28,None,None,None,None,None,None,None,None,None,None,None,None
29,None,None,None,None,None,None,None,None,None,None,None,None
30,None,None,None,None,None,None,None,None,None,None,None,None
31,None,None,None,None,None,None,None,None,None,None,None,None
32,None,None,None,None,None,None,None,None,None,None,None,None
33,[[23.9666732 86.2876049]],None,None,None,None,None,None,None,None,None,None,None
34,"[[23.9796769 86.2894253]
 [23.9794383 86.2870482]
 [23.9759625 86.2854684]]",None,None,None,None,None,None,None,None,None,None,None
35,[[23.9897958 86.2875357]],None,None,None,None,None,None,None,None,None,None,None
36,"[[23.992695  86.2863767]
 [23.9994063 86.2808178]]",None,None,None,None,None,None,None,None,None,None,None
37,None,None,None,None,None,None,None,None,None,None,None,None
38,None,None,None,None,None,None,None,None,None,None,None,None
39,None,None,None,None,None,None,None,None,None,None,None,None
40,None,None,None,None,None,None,None,None,None,None,None,None
41,None,None,None,None,None,None,None,None,None,None,None,None
42,"[[24.0562366 86.2807595]
 [24.0561965 86.2807377]
 [24.0561545 86.2804131]
 [24.0549186 86.2800346]]",[[24.0561545 86.2804131]],None,None,None,None,[[24.056037  86.2813164]],None,None,None,None,None
43,None,None,None,None,None,None,None,None,None,None,None,None
44,[[23.6442968 86.2949777]],None,None,None,None,None,None,None,None,None,None,None
45,None,None,None,None,None,None,None,None,None,None,None,None
46,None,None,None,None,None,None,None,None,None,None,None,None
47,None,None,None,None,None,None,None,None,None,None,None,None
48,None,None,None,None,None,None,None,None,None,None,None,None
49,[[23.6939158 86.2937886]],[[23.6939158 86.2937886]],None,None,None,None,None,None,None,None,None,None
50,None,None,None,None,None,None,None,None,None,None,None,None
51,"[[23.7101821 86.2945628]
 [23.7143218 86.2905334]]",None,None,None,None,None,None,None,None,None,None,None
52,None,None,None,None,None,None,None,None,None,None,None,None
53,None,None,None,None,None,[[23.7300739 86.2980096]],None,None,None,[[23.7364135 86.2920392]],None,None
54,None,None,None,None,None,None,None,None,None,None,None,None
55,[[23.7518932 86.2996368]],None,None,None,None,None,None,None,None,None,None,None
56,[[23.7671249 86.2999539]],None,None,None,None,None,None,None,None,None,None,None
57,"[[23.77907   86.2968923]
 [23.7784193 86.2972333]]",None,None,None,[[23.7795  86.29693]],None,"[[23.7739414 86.2986218]
 [23.7734055 86.2985988]]",None,None,None,None,None
58,"[[23.7829838 86.2918025]
 [23.781449  86.2970485]
 [23.7852215 86.2968031]
 [23.787205  86.29718  ]
 [23.7899016 86.2971206]]",None,None,None,None,"[[23.7821744 86.2926598]
 [23.7843126 86.2963144]]",None,None,None,None,None,None
