Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
0,None,None,None,None,None,None,None,None,None,None,None,None
1,None,None,None,None,None,None,None,None,None,None,None,None
2,None,None,None,None,None,None,None,None,None,None,None,None
3,None,None,None,None,None,None,None,None,None,None,None,None
4,None,None,None,None,None,None,None,None,None,None,None,None
5,None,None,None,None,None,None,None,None,None,None,None,None
6,None,None,None,None,None,None,None,None,None,None,None,None
7,None,None,None,None,None,None,None,None,None,None,None,None
8,None,None,None,None,None,None,None,None,None,None,None,None
9,None,None,None,None,None,None,None,None,None,None,None,None
10,None,None,None,None,None,None,None,None,None,None,None,None
11,None,None,None,None,None,None,None,None,None,None,None,None
12,None,None,None,None,None,None,None,None,None,None,None,None
13,None,None,None,None,None,None,None,None,None,None,None,None
14,None,None,None,None,None,None,None,None,None,None,None,None
15,None,None,None,None,None,None,None,None,None,None,None,None
16,None,None,None,None,None,None,None,None,None,None,None,None
17,"[[25.6447569  89.6957222 ]
 [25.64757575 89.6925902 ]
 [25.6477648  89.6924904 ]
 [25.648341   89.692515  ]]",[[25.648341 89.692515]],None,None,None,None,None,None,None,None,None,None
18,None,None,None,None,None,None,None,None,None,None,None,None
19,None,None,None,None,None,None,None,None,None,None,None,None
20,None,None,None,None,None,None,None,None,None,None,None,None
21,"[[25.6813343 89.6902372]
 [25.681791  89.6900742]]",[[25.681791  89.6900742]],None,None,None,None,None,None,None,None,None,None
22,None,None,None,None,None,None,None,None,None,None,None,None
23,None,None,None,None,None,None,None,None,None,None,None,None
24,"[[25.717927  89.693666 ]
 [25.710316  89.693808 ]
 [25.7103689 89.6937542]]","[[25.7103689 89.6937542]
 [25.717927  89.693666 ]]",None,None,None,None,None,None,None,None,None,None
25,"[[25.7226395 89.690548 ]
 [25.7224276 89.6905242]]",None,None,None,None,None,None,None,None,None,None,None
26,None,None,None,None,None,None,None,None,None,None,None,None
27,[[25.7415562 89.690279 ]],None,None,None,None,None,None,None,None,None,None,None
28,None,None,None,None,None,None,None,None,None,None,None,None
29,None,None,None,None,None,None,None,None,None,None,None,None
30,None,None,None,None,None,None,None,None,None,None,None,None
31,None,None,None,None,None,None,None,None,None,None,None,None
32,None,None,None,None,None,None,None,None,None,None,None,None
33,None,None,None,None,None,None,None,None,None,None,None,None
34,None,None,None,None,None,None,None,None,None,None,None,[[25.8160143 89.6932535]]
35,None,None,None,None,None,None,None,None,None,None,None,None
36,None,None,None,None,None,None,None,None,None,None,None,None
37,None,None,None,None,None,None,None,None,None,None,None,None
38,None,None,None,None,None,None,None,None,None,None,None,None
39,[[25.8623655 89.6941413]],None,None,None,None,None,None,None,None,None,None,None
40,None,None,None,None,None,None,None,None,None,None,None,None
41,None,None,None,None,None,None,None,None,None,None,None,None
42,"[[25.8998172 89.6939321]
 [25.8998887 89.6938667]
 [25.8985574 89.6939643]
 [25.8901059 89.6963699]]",None,None,None,None,None,None,None,None,None,None,None
43,None,None,None,None,None,None,None,None,None,None,None,None
44,"[[25.9178296 89.6997733]
 [25.914776  89.6994357]
 [25.9146983 89.69957  ]]",[[25.914776  89.6994357]],None,None,None,[[25.9159563 89.6997297]],None,None,None,None,None,None
45,None,None,None,None,None,None,None,None,None,None,None,None
46,None,None,None,None,None,None,None,None,None,"[[25.9378191 89.6919406]
 [25.9377284 89.6916318]]",None,None
47,None,None,None,None,None,None,None,None,None,None,None,None
48,[[25.9528965 89.696447 ]],None,None,None,None,None,[[25.9507601 89.6955373]],None,None,[[25.9576627 89.6963488]],None,None
49,"[[25.9642198 89.6957222]
 [25.9647687 89.6945664]
 [25.9646612 89.6945109]
 [25.9661842 89.6945856]
 [25.9667907 89.6945817]
 [25.9667319 89.6945319]
 [25.9668962 89.6946215]
 [25.9668252 89.6942651]
 [25.966624  89.6941013]
 [25.9641375 89.6923674]]",[[25.9668252 89.6942651]],None,None,None,[[25.9651898 89.6915158]],[[25.9652329 89.6912697]],"[[25.9606398 89.6943469]
 [25.9643967 89.6922105]]",[[25.9690333 89.697656 ]],"[[25.9642198 89.6957222]
 [25.9606207 89.6943545]
 [25.9634817 89.6925064]
 [25.9600527 89.6910873]]",None,"[[25.9686484 89.696795 ]
 [25.966734  89.6932177]
 [25.9667027 89.6909156]]"
50,"[[25.9772115 89.6989113]
 [25.9770212 89.69896  ]
 [25.9754453 89.6999473]
 [25.9789636 89.6963194]]",[[25.9770212 89.69896  ]],None,None,None,None,None,None,None,None,None,[[25.9700789 89.6975256]]
51,"[[25.9857695 89.6989569]
 [25.9865043 89.6986793]]",[[25.9865043 89.6986793]],None,None,None,None,None,None,None,None,None,None
52,None,None,None,None,None,None,None,None,None,None,None,None
53,[[26.0007499 89.6950841]],[[26.0007499 89.6950841]],None,None,None,None,None,None,None,None,None,None
54,None,None,None,None,None,None,None,None,None,None,None,None
55,[[26.0288012 89.6991128]],None,None,None,None,None,None,None,None,None,None,None
56,None,None,None,None,None,None,None,None,None,None,None,None
57,[[26.0449682 89.6971972]],[[26.0449682 89.6971972]],None,None,None,None,None,None,None,None,None,None
58,[[26.0525227 89.696492 ]],[[26.0525227 89.696492 ]],None,None,None,None,None,None,None,None,None,None
59,[[26.0614721 89.6917526]],None,None,None,None,None,None,None,None,None,None,None
60,None,None,None,None,None,None,None,None,None,None,None,None
61,[[26.0840873 89.6990285]],None,None,None,None,None,None,None,None,None,None,None
62,None,None,None,None,None,None,None,None,None,[[26.0967057 89.6924118]],None,None
63,[[26.1026651 89.6939247]],None,None,None,None,None,None,None,None,None,None,None
64,None,None,None,None,None,None,None,None,None,None,None,None
65,None,None,None,None,None,None,None,None,None,None,None,None
66,None,None,None,None,None,None,None,None,None,None,None,None
67,None,None,None,None,None,None,None,None,None,None,None,None
68,None,None,None,None,None,None,None,None,None,None,None,None
69,None,None,None,None,None,None,None,None,None,None,None,None
70,None,None,None,None,None,None,None,None,None,None,None,None
71,None,None,None,None,None,None,None,None,None,None,None,None
72,None,None,None,None,None,None,None,None,None,None,None,None
73,[[26.2006084 89.6957222]],None,None,None,None,None,None,None,None,None,None,None
74,None,None,None,None,None,None,None,None,None,None,None,None
75,[[26.2216597 89.6912992]],None,None,None,None,None,None,None,None,None,None,None
76,None,None,None,None,None,None,None,None,None,None,None,None
77,None,None,None,None,None,None,None,None,None,None,None,None
78,None,None,None,None,None,None,None,None,None,None,None,None
