Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
0,[[26.8979551 79.6796161]],None,None,None,None,None,None,None,None,None,None,None
1,None,None,None,None,None,None,None,None,None,None,None,None
2,None,None,None,None,None,None,None,None,None,None,None,None
3,None,None,None,None,None,None,None,None,None,None,None,None
4,"[[26.93850605 79.6772058 ]
 [26.9319635  79.6797606 ]
 [26.9398041  79.6743671 ]
 [26.9389809  79.6741655 ]]",None,None,None,None,None,None,[[26.939162 79.673098]],None,None,None,None
5,"[[26.941517  79.6744783]
 [26.9440145 79.6758825]
 [26.9440555 79.6753049]
 [26.9407644 79.6744552]
 [26.944574  79.674598 ]
 [26.9453119 79.673905 ]]",None,None,None,None,"[[26.9443184 79.6743868]
 [26.9437801 79.6767059]
 [26.9442946 79.6740957]]",None,None,None,[[26.940241 79.67354 ]],None,None
6,None,None,None,None,None,None,None,None,None,None,None,None
7,None,None,None,None,None,None,None,None,None,None,None,None
8,None,None,None,None,None,None,None,None,None,None,None,None
9,None,None,None,None,None,None,None,None,None,None,None,None
10,None,None,None,None,None,None,None,None,None,None,None,None
11,None,None,None,None,None,None,None,None,None,None,None,None
12,None,None,None,None,None,None,None,None,None,None,None,None
13,"[[27.0225586 79.6792366]
 [27.0224944 79.6792034]]","[[27.0225586 79.6792366]
 [27.0224944 79.6792034]]",None,None,None,None,None,None,None,None,None,None
14,None,None,None,None,None,None,None,None,None,None,None,None
15,None,None,None,None,None,None,None,None,None,None,None,None
16,None,None,None,None,None,None,None,None,None,None,None,None
17,[[27.0687649 79.6750778]],None,None,None,None,None,None,None,None,None,None,None
18,None,None,None,None,None,None,None,None,None,None,None,None
19,None,None,None,None,None,None,None,None,None,None,None,None
20,None,None,None,None,None,None,None,None,None,None,None,None
21,None,None,None,None,None,None,None,None,None,None,None,None
22,"[[27.1192793 79.6756568]
 [27.1193139 79.6755432]
 [27.1196834 79.6749717]]",None,None,None,None,None,None,None,None,None,None,None
23,"[[27.121807  79.6797767]
 [27.1224    79.6774   ]
 [27.1227856 79.6766878]]",None,None,None,None,None,None,None,None,None,None,None
24,None,None,None,None,None,None,None,None,None,None,None,None
25,None,None,None,None,None,None,None,None,None,[[27.1438474 79.678138 ]],None,None
26,None,None,None,None,None,None,None,None,None,None,None,None
27,None,None,None,None,None,None,None,None,None,None,None,None
28,None,None,None,None,None,None,None,None,None,None,None,None
29,"[[27.1823773 79.6754694]
 [27.1821182 79.6751516]]",None,None,None,None,[[27.1823773 79.6754694]],None,None,None,None,None,None
30,None,None,None,None,None,None,None,None,None,None,None,None
31,None,None,None,None,None,None,None,None,None,None,None,None
32,"[[27.2115711 79.6788399]
 [27.2116231 79.6788027]
 [27.2115039 79.6784265]]",[[27.2115039 79.6784265]],None,None,None,None,None,None,None,None,None,None
33,[[27.2288895 79.6754694]],None,None,None,None,None,None,None,None,[[27.2288895 79.6754694]],None,None
34,None,None,None,None,None,None,None,None,None,None,None,None
35,None,None,None,None,None,None,None,None,None,None,None,None
36,None,None,None,None,None,None,None,None,None,None,None,None
