Grid_number,school,primary_school,bus_station,taxi_stand,train_station,bank,local_government_office,police,doctor,hospital,department_store,supermarket
0,None,None,None,None,None,None,None,None,None,None,None,None
1,[[24.3720194 85.8245126]],None,None,None,None,None,None,None,None,[[24.3703333 85.823945 ]],None,None
2,None,None,None,None,None,None,None,None,None,None,None,None
3,None,None,None,None,None,None,None,None,None,None,None,None
4,[[24.4059496 85.8217448]],None,None,None,None,None,None,None,None,None,None,None
5,None,None,None,None,None,None,None,None,None,None,None,None
6,"[[24.4268312 85.8257478]
 [24.4259798 85.8224108]]",None,None,None,None,None,None,None,None,None,None,None
7,"[[24.4388407 85.8240889]
 [24.4394672 85.8201713]]",None,None,None,None,None,None,None,None,None,None,None
8,[[24.4421394 85.8227421]],None,None,None,None,[[24.4438184 85.8223257]],None,[[24.4439973 85.8213276]],None,[[24.4422755 85.8222901]],None,None
9,None,None,None,None,None,None,None,None,None,None,None,None
10,None,None,None,None,None,None,None,None,None,None,None,None
11,None,None,None,None,None,None,None,None,None,None,None,None
12,None,None,None,None,None,None,None,None,None,None,None,None
13,None,None,None,None,None,None,None,None,None,None,None,None
14,None,None,None,None,None,None,None,None,None,None,None,None
15,None,None,None,None,None,None,None,None,None,None,None,None
16,None,None,None,None,None,None,None,None,None,None,None,None
17,None,None,None,None,None,None,None,None,None,None,None,None
18,None,None,None,None,None,None,None,None,None,None,None,None
19,None,None,None,None,None,None,None,None,None,None,None,None
20,None,None,None,None,None,None,None,None,None,None,None,None
21,None,None,None,None,None,None,None,None,None,None,None,None
22,None,None,None,None,None,None,None,None,None,None,None,None
23,None,None,None,None,None,None,None,None,None,None,None,None
24,None,None,None,None,None,None,None,None,None,None,None,None
25,None,None,None,None,None,None,None,None,None,None,None,None
26,"[[24.6245339 85.8217232]
 [24.6283027 85.8253202]]",None,None,None,None,None,None,None,None,None,None,None
27,[[24.6314527 85.8294259]],None,None,None,None,None,None,None,None,None,None,None
28,"[[24.6450486 85.8237084]
 [24.6452936 85.8237758]]",None,None,None,None,None,None,None,None,None,None,None
29,None,None,None,None,None,None,None,None,None,None,None,None
30,None,None,None,None,None,None,None,None,None,None,None,None
31,None,None,None,None,None,None,None,None,None,None,None,None
32,None,None,None,None,None,None,None,None,None,None,None,None
33,None,None,None,None,None,None,None,None,None,None,None,None
34,[[24.702548  85.8222046]],None,None,None,None,None,None,None,None,None,None,None
35,None,None,None,None,None,None,None,None,None,None,None,None
36,None,None,None,None,None,None,None,None,None,None,None,None
37,None,None,None,None,None,None,None,None,None,None,None,None
38,None,None,None,None,None,None,None,None,None,None,None,None
39,[[24.754182  85.8265324]],None,None,None,None,None,None,None,None,"[[24.7531307 85.8298406]
 [24.7531026 85.8220649]]",None,None
40,None,None,None,None,None,None,None,None,None,None,None,None
41,None,None,None,None,None,None,None,None,None,None,None,None
42,None,None,None,None,None,None,None,None,None,None,None,None
43,None,None,None,None,None,None,None,None,None,None,None,None
44,None,None,None,None,None,None,None,None,None,None,None,None
45,None,None,None,None,None,None,None,None,None,None,None,None
46,None,None,None,None,None,None,None,None,None,None,None,None
47,None,None,None,None,None,None,None,None,None,None,None,None
48,None,None,None,None,None,None,None,None,None,None,None,None
49,"[[24.8590155 85.8261019]
 [24.8560226 85.823397 ]
 [24.8546911 85.8228718]
 [24.856099  85.8213359]]",None,None,None,None,[[24.856252  85.8207667]],[[24.8558565 85.822148 ]],None,None,"[[24.8563515 85.8205206]
 [24.8562198 85.8204991]]",None,None
50,[[24.8652813 85.8217448]],None,None,None,None,None,None,None,None,None,None,None
51,[[24.8774737 85.8201853]],None,None,None,None,None,None,None,None,None,None,None
52,"[[24.8835684 85.826005 ]
 [24.8824421 85.8231639]
 [24.8873607 85.8224133]]",None,None,None,None,None,None,None,None,None,None,None
53,None,None,None,None,None,None,None,None,None,None,None,None
54,None,None,None,None,None,None,None,None,None,None,None,None
55,"[[24.917174  85.8295542]
 [24.9187135 85.8264405]
 [24.9187624 85.8264256]]",None,None,None,None,None,None,None,None,None,None,None
56,"[[24.9232415 85.8273166]
 [24.9258782 85.8293202]]",None,None,None,None,None,None,None,None,None,None,None
57,[[24.9375272 85.8279174]],None,None,None,None,None,None,None,None,None,None,None
58,"[[24.9418104 85.8289025]
 [24.940942  85.829093 ]
 [24.9405245 85.8274145]
 [24.9407561 85.8273381]
 [24.941746  85.829748 ]
 [24.9427969 85.8219418]
 [24.9439978 85.821286 ]]",None,[[24.9407324 85.8292723]],None,None,None,None,None,None,[[24.9409425 85.8279883]],None,None
59,None,None,None,None,None,[[24.9591707 85.8289928]],None,None,None,None,None,None
60,"[[24.9607824 85.8297152]
 [24.9629601 85.8254002]]",None,None,None,None,None,None,None,[[24.9607489 85.8291543]],None,None,None
61,"[[24.9792474 85.8204646]
 [24.9706219 85.8236538]]",None,None,None,None,None,None,None,None,None,None,None
62,None,None,None,None,None,None,None,None,None,None,None,None
63,[[24.9943189 85.8206677]],None,None,None,None,None,None,None,None,None,None,None
64,None,None,None,None,None,None,None,None,None,None,None,None
65,None,None,None,None,None,None,None,None,None,None,None,None
66,None,None,None,None,None,None,None,None,None,[[25.0292085 85.8232591]],None,None
67,"[[25.032617  85.8254712]
 [25.0313861 85.8250257]
 [25.0300649 85.824791 ]]",None,None,None,None,None,None,None,None,None,None,None
68,[[25.0421265 85.8281521]],None,None,None,None,None,None,None,None,None,None,None
69,"[[25.054245  85.8265683]
 [25.0520852 85.8291968]
 [25.051721  85.8297108]]",None,None,None,None,None,None,None,None,None,None,None
70,None,None,None,None,None,None,None,None,None,None,None,None
71,None,None,None,None,None,None,None,None,None,None,None,None
72,"[[25.0839297 85.8221436]
 [25.0874711 85.8268657]]",None,None,None,None,None,None,None,None,None,None,None
73,"[[25.0950105 85.8249241]
 [25.091552  85.8232909]
 [25.0913986 85.8221721]
 [25.0926385 85.8205001]]",None,None,None,None,None,None,None,None,None,None,None
74,"[[25.1087741 85.8242773]
 [25.1085763 85.8242253]]",None,None,None,None,None,None,None,None,None,None,None
75,None,None,None,None,None,None,None,None,None,None,None,None
76,None,None,None,None,None,None,None,None,None,None,None,None
77,None,None,None,None,None,None,None,None,None,None,None,None
78,"[[25.1406685 85.8243053]
 [25.1424711 85.8230821]
 [25.1445271 85.8242904]
 [25.1485955 85.8252842]
 [25.146427  85.8212065]
 [25.1476024 85.8212877]]",None,None,None,None,[[25.1466586 85.8268657]],None,None,None,None,None,None
79,None,None,None,None,None,None,None,None,None,None,None,None
