Grid_Number,Grid_Population,Status
0,90,0
1,239,0
2,256,0
3,559,0
4,482,0
5,579,0
6,0,0
7,0,0
8,274,0
9,0,0
10,0,0
11,0,0
12,0,0
13,84,0
14,43,0
15,0,0
16,0,0
17,0,0
18,537,0
19,1138,0
20,1512,0
21,61,0
22,364,0
23,2335,0
24,1949,0
25,233,0
26,0,0
27,426,0
28,0,0
29,0,0
30,0,0
31,2122,0
32,1816,0
33,54,0
34,0,0
35,1133,0
36,5628,0
37,7450,0
38,5229,0
39,1225,0
40,2530,0
41,78,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,634,0
57,0,0
58,409,0
59,0,0
60,1130,0
61,194,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,514,0
69,0,0
70,15,0
71,14,0
72,0,0
73,0,0
74,133,0
75,1681,0
76,207,0
77,0,0
78,211,0
79,163,0
80,765,0
81,96,0
82,30,0
83,169,0
84,0,0
85,0,0
86,0,0
87,564,0
88,1074,0
89,43,0
90,0,0
91,935,0
92,2172,0
93,3552,0
94,5134,0
95,2219,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,128,0
112,436,0
113,21,0
114,287,0
115,750,0
116,3337,0
117,80,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,181,0
125,0,0
126,0,0
127,142,0
128,52,0
129,0,0
130,294,0
131,445,0
132,73,0
133,214,0
134,319,0
135,100,0
136,86,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,43,0
148,296,0
149,3353,0
150,1916,1
151,1740,1
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,294,0
168,87,0
169,6,0
170,0,0
171,582,0
172,3634,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,60,0
181,16,0
182,0,0
183,0,0
184,198,0
185,78,0
186,256,0
187,658,0
188,171,0
189,152,0
190,684,0
191,165,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,78,0
199,1075,0
200,1166,0
201,0,0
202,0,0
203,75,0
204,402,0
205,319,1
206,4335,1
207,292,1
208,42,1
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,31,0
221,0,0
222,0,0
223,154,0
224,0,0
225,0,0
226,0,0
227,863,0
228,3444,0
229,0,0
230,1545,0
231,0,0
232,17,0
233,389,0
234,0,0
235,0,0
236,302,0
237,344,0
238,0,0
239,0,0
240,869,0
241,1027,0
242,0,0
243,443,0
244,16,0
245,54,1
246,1237,1
247,0,0
248,11,0
249,0,0
250,8,0
251,0,0
252,0,0
253,9,0
254,0,0
255,0,0
256,1412,1
257,0,0
258,0,0
259,216,0
260,433,0
261,4622,1
262,5559,1
263,98,1
264,232,1
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,43,0
277,44,0
278,0,0
279,323,0
280,0,0
281,25,0
282,0,0
283,0,0
284,2786,0
285,82,0
286,0,0
287,0,0
288,227,0
289,1331,0
290,216,0
291,480,0
292,506,0
293,0,0
294,0,0
295,0,0
296,290,0
297,666,0
298,997,0
299,204,1
300,149,1
301,1160,1
302,2098,1
303,58,1
304,62,1
305,145,1
306,0,0
307,7,0
308,0,0
309,0,0
310,164,1
311,142,1
312,43,1
313,660,1
314,0,0
315,0,0
316,26,0
317,1683,1
318,1524,1
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,65,0
334,0,0
335,0,0
336,0,0
337,1267,0
338,0,0
339,719,0
340,1599,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,863,0
347,876,0
348,598,0
349,380,0
350,269,0
351,459,0
352,666,0
353,434,0
354,261,1
355,82,1
356,1410,1
357,1438,1
358,389,1
359,13,0
360,13,0
361,0,0
362,0,0
363,0,0
364,0,0
365,14,0
366,118,1
367,0,0
368,0,0
369,228,1
370,0,0
371,0,0
372,22,0
373,0,0
374,458,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,312,0
394,83,0
395,1158,0
396,1420,0
397,0,0
398,0,0
399,95,0
400,996,0
401,0,0
402,1929,0
403,1954,0
404,1123,0
405,1511,0
406,358,0
407,238,0
408,1282,0
409,0,0
410,1525,1
411,1121,1
412,976,1
413,958,1
414,237,1
415,0,0
416,0,0
417,0,0
418,25,1
419,257,1
420,0,0
421,28,1
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,73,1
429,156,1
430,0,0
431,0,0
432,0,0
433,87,1
434,34,1
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,17,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,440,0
450,172,0
451,1209,0
452,2073,0
453,0,0
454,77,0
455,2953,0
456,1278,0
457,0,0
458,38,0
459,1671,0
460,2064,0
461,493,0
462,713,0
463,633,0
464,4594,0
465,812,0
466,845,0
467,405,1
468,1423,1
469,1026,1
470,820,1
471,0,0
472,0,0
473,0,0
474,0,0
475,34,1
476,79,1
477,0,0
478,0,0
479,216,1
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,34,1
487,32,1
488,0,0
489,0,0
490,0,0
491,0,0
492,0,0
493,0,0
494,13,0
495,0,0
496,0,0
497,0,0
498,0,0
499,0,0
500,0,0
501,129,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,671,0
508,1034,0
509,0,0
510,526,0
511,510,0
512,185,0
513,0,0
514,611,0
515,1280,0
516,543,0
517,120,0
518,132,0
519,0,0
520,3145,0
521,706,0
522,238,0
523,404,0
524,2394,1
525,3433,1
526,2297,1
527,241,1
528,0,0
529,0,0
530,0,0
531,0,0
532,0,0
533,0,0
534,21,1
535,11,0
536,0,0
537,0,0
538,0,0
539,0,0
540,0,0
541,0,0
542,0,0
543,0,0
544,0,0
545,0,0
546,0,0
547,0,0
548,0,0
549,0,0
550,0,0
551,0,0
552,0,0
553,0,0
554,0,0
555,0,0
556,0,0
557,77,0
558,475,0
559,0,0
560,0,0
561,0,0
562,0,0
563,78,0
564,495,0
565,0,0
566,0,0
567,52,0
568,1665,0
569,167,0
570,1376,0
571,2123,0
572,798,0
573,198,0
574,0,0
575,0,0
576,729,0
577,551,0
578,1220,0
579,3079,0
580,5683,0
581,5271,0
582,2258,1
583,1606,1
584,76,1
585,0,0
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,0,0
592,0,0
593,0,0
594,0,0
595,0,0
596,0,0
597,0,0
598,21,1
599,58,1
600,0,0
601,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,0,0
607,0,0
608,0,0
609,0,0
610,0,0
611,0,0
612,0,0
613,13,0
614,438,1
615,0,0
616,0,0
617,0,0
618,0,0
619,0,0
620,0,0
621,0,0
622,0,0
623,498,0
624,289,0
625,0,0
626,189,0
627,2137,0
628,1497,0
629,0,0
630,0,0
631,545,0
632,404,0
633,311,0
634,1448,0
635,3321,0
636,4090,0
637,5903,0
638,582,1
639,1730,1
640,91,1
641,0,0
642,0,0
643,0,0
644,133,1
645,154,1
646,0,0
647,0,0
648,0,0
649,18,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,53,1
662,0,0
663,0,0
664,0,0
