Grid_Number,Connectivity
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,0.0
22,0.0
23,0.0
24,1.0
25,1.0
26,1.0
27,1.0
28,0.0
29,2.0
30,2.0
31,2.0
32,2.0
33,2.0
34,2.0
35,2.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,1.0
68,1.0
69,1.0
70,2.0
71,2.0
72,2.0
73,2.0
74,2.0
75,1.0
76,1.0
77,1.0
78,0.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,2.0
85,2.0
86,2.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,1.0
123,1.0
124,1.0
125,2.0
126,2.0
127,2.0
128,2.0
129,2.0
130,2.0
131,2.0
132,1.0
133,1.0
134,1.0
135,0.0
136,1.0
137,1.0
138,1.0
139,1.0
140,2.0
141,2.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,2.0
149,1.0
150,0.0
151,0.0
152,1.0
153,1.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,1.0
178,1.0
179,1.0
180,2.0
181,2.0
182,0.0
183,0.0
184,0.0
185,0.0
186,2.0
187,2.0
188,2.0
189,1.0
190,1.0
191,1.0
192,0.0
193,1.0
194,1.0
195,1.0
196,2.0
197,2.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,2.0
205,0.0
206,0.0
207,1.0
208,1.0
209,1.0
210,1.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,1.0
233,1.0
234,1.0
235,1.0
236,3.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,2.0
244,2.0
245,0.0
246,0.0
247,0.0
248,1.0
249,1.0
250,1.0
251,1.0
252,1.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,2.0
260,2.0
261,0.0
262,0.0
263,2.0
264,2.0
265,1.0
266,1.0
267,1.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,1.0
288,1.0
289,1.0
290,1.0
291,1.0
292,3.0
293,3.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,2.0
301,0.0
302,0.0
303,1.0
304,1.0
305,1.0
306,1.0
307,1.0
308,1.0
309,2.0
310,0.0
311,0.0
312,0.0
313,0.0
314,2.0
315,2.0
316,3.0
317,3.0
318,2.0
319,2.0
320,2.0
321,2.0
322,1.0
323,1.0
324,1.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,1.0
344,1.0
345,1.0
346,1.0
347,2.0
348,3.0
349,3.0
350,3.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,2.0
357,0.0
358,0.0
359,1.0
360,1.0
361,1.0
362,1.0
363,1.0
364,1.0
365,2.0
366,2.0
367,2.0
368,2.0
369,2.0
370,2.0
371,3.0
372,3.0
373,0.0
374,2.0
375,2.0
376,2.0
377,2.0
378,0.0
379,1.0
380,1.0
381,1.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,1.0
399,1.0
400,1.0
401,1.0
402,1.0
403,2.0
404,3.0
405,3.0
406,3.0
407,3.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,1.0
416,1.0
417,0.0
418,1.0
419,1.0
420,1.0
421,2.0
422,2.0
423,2.0
424,2.0
425,2.0
426,2.0
427,3.0
428,0.0
429,0.0
430,2.0
431,2.0
432,2.0
433,0.0
434,0.0
435,1.0
436,1.0
437,1.0
438,1.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,1.0
456,1.0
457,1.0
458,1.0
459,2.0
460,2.0
461,3.0
462,3.0
463,3.0
464,3.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,1.0
472,0.0
473,0.0
474,0.0
475,1.0
476,1.0
477,1.0
478,2.0
479,2.0
480,2.0
481,2.0
482,2.0
483,0.0
484,0.0
485,2.0
486,2.0
487,2.0
488,0.0
489,0.0
490,0.0
491,0.0
492,1.0
493,1.0
494,1.0
495,1.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,1.0
512,1.0
513,1.0
514,2.0
515,2.0
516,3.0
517,3.0
518,3.0
519,3.0
520,3.0
521,3.0
522,0.0
523,2.0
524,1.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,1.0
533,1.0
534,1.0
535,2.0
536,2.0
537,2.0
538,2.0
539,0.0
540,2.0
541,2.0
542,2.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,1.0
549,1.0
550,1.0
551,1.0
552,1.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,1.0
567,1.0
568,1.0
569,2.0
570,2.0
