Grid_Number,Education
0,8.0
1,9.0
2,13.0
3,18.0
4,20.0
5,20.0
6,22.0
7,21.0
8,31.0
9,30.0
10,38.0
11,52.0
12,56.0
13,62.0
14,67.0
15,79.0
16,69.0
17,73.0
18,68.0
19,61.0
20,57.0
21,56.0
22,55.0
23,56.0
24,45.0
25,46.0
26,45.0
27,45.0
28,33.0
29,36.0
30,35.0
31,26.0
32,25.0
33,34.0
34,38.0
35,41.0
36,43.0
37,44.0
38,44.0
39,39.0
40,41.0
41,34.0
42,25.0
43,9.0
44,5.0
45,5.0
46,6.0
47,8.0
48,11.0
49,11.0
50,8.0
51,11.0
52,13.0
53,13.0
54,12.0
55,9.0
56,10.0
57,13.0
58,15.0
59,23.0
60,21.0
61,22.0
62,24.0
63,26.0
64,36.0
65,39.0
66,62.0
67,65.0
68,68.0
69,77.0
70,82.0
71,103.0
72,101.0
73,84.0
74,80.0
75,76.0
76,70.0
77,59.0
78,62.0
79,58.0
80,47.0
81,50.0
82,49.0
83,49.0
84,40.0
85,35.0
86,37.0
87,33.0
88,29.0
89,37.0
90,40.0
91,52.0
92,48.0
93,51.0
94,51.0
95,49.0
96,43.0
97,38.0
98,27.0
99,19.0
100,6.0
101,5.0
102,10.0
103,7.0
104,11.0
105,11.0
106,15.0
107,12.0
108,14.0
109,14.0
110,14.0
111,12.0
112,10.0
113,13.0
114,21.0
115,24.0
116,24.0
117,25.0
118,25.0
119,32.0
120,47.0
121,59.0
122,76.0
123,79.0
124,81.0
125,88.0
126,108.0
127,121.0
128,117.0
129,106.0
130,88.0
131,94.0
132,79.0
133,69.0
134,64.0
135,59.0
136,47.0
137,54.0
138,50.0
139,50.0
140,42.0
141,38.0
142,42.0
143,37.0
144,33.0
145,41.0
146,47.0
147,59.0
148,58.0
149,55.0
150,28.0
151,20.0
152,51.0
153,37.0
154,27.0
155,21.0
156,6.0
157,6.0
158,10.0
159,10.0
160,11.0
161,15.0
162,15.0
163,17.0
164,14.0
165,14.0
166,14.0
167,12.0
168,9.0
169,13.0
170,22.0
171,25.0
172,27.0
173,30.0
174,29.0
175,41.0
176,57.0
177,80.0
178,79.0
179,80.0
180,87.0
181,113.0
182,132.0
183,151.0
184,138.0
185,122.0
186,101.0
187,90.0
188,85.0
189,73.0
190,61.0
191,61.0
192,53.0
193,51.0
194,51.0
195,49.0
196,43.0
197,43.0
198,42.0
199,35.0
200,32.0
201,41.0
202,48.0
203,65.0
204,61.0
205,19.0
206,18.0
207,56.0
208,52.0
209,40.0
210,27.0
211,22.0
212,9.0
213,6.0
214,11.0
215,10.0
216,10.0
217,15.0
218,16.0
219,17.0
220,17.0
221,14.0
222,13.0
223,11.0
224,11.0
225,13.0
226,21.0
227,22.0
228,29.0
229,31.0
230,34.0
231,47.0
232,58.0
233,80.0
234,83.0
235,85.0
236,98.0
237,140.0
238,147.0
239,161.0
240,146.0
241,147.0
242,112.0
243,95.0
244,92.0
245,3.0
246,3.0
247,9.0
248,58.0
249,53.0
250,52.0
251,45.0
252,45.0
253,42.0
254,39.0
255,35.0
256,34.0
257,45.0
258,51.0
259,63.0
260,61.0
261,10.0
262,21.0
263,56.0
264,53.0
265,36.0
266,28.0
267,22.0
268,9.0
269,8.0
270,12.0
271,9.0
272,8.0
273,15.0
274,16.0
275,17.0
276,15.0
277,15.0
278,12.0
279,10.0
280,11.0
281,15.0
282,19.0
283,23.0
284,27.0
285,32.0
286,34.0
287,49.0
288,60.0
289,80.0
290,78.0
291,85.0
292,112.0
293,147.0
294,154.0
295,156.0
296,147.0
297,147.0
298,132.0
299,109.0
300,89.0
301,5.0
302,6.0
303,50.0
304,48.0
305,53.0
306,42.0
307,35.0
308,42.0
309,38.0
310,39.0
311,38.0
312,34.0
313,38.0
314,51.0
315,54.0
316,60.0
317,54.0
318,51.0
319,53.0
320,42.0
321,36.0
322,29.0
323,12.0
324,9.0
325,7.0
326,8.0
327,9.0
328,8.0
329,12.0
330,15.0
331,15.0
332,16.0
333,15.0
334,14.0
335,10.0
336,12.0
337,15.0
338,19.0
339,22.0
340,27.0
341,30.0
342,33.0
343,45.0
344,54.0
345,72.0
346,77.0
347,88.0
348,115.0
349,145.0
350,156.0
351,146.0
352,138.0
353,132.0
354,128.0
355,125.0
356,87.0
357,4.0
358,5.0
359,33.0
360,40.0
361,42.0
362,35.0
363,36.0
364,46.0
365,39.0
366,31.0
367,34.0
368,29.0
369,32.0
370,37.0
371,41.0
372,50.0
373,46.0
374,43.0
375,32.0
376,34.0
377,32.0
378,25.0
379,9.0
380,7.0
381,7.0
382,7.0
383,6.0
384,5.0
385,12.0
386,12.0
387,14.0
388,17.0
389,15.0
390,15.0
391,15.0
392,10.0
393,12.0
394,16.0
395,18.0
396,28.0
397,33.0
398,33.0
399,42.0
400,51.0
401,53.0
402,70.0
403,88.0
404,123.0
405,144.0
406,154.0
407,154.0
408,138.0
409,115.0
410,16.0
411,1.0
412,4.0
413,0.0
414,7.0
415,23.0
416,26.0
417,34.0
418,37.0
419,36.0
420,37.0
421,41.0
422,38.0
423,33.0
424,23.0
425,28.0
426,35.0
427,30.0
428,31.0
429,35.0
430,32.0
431,31.0
432,33.0
433,25.0
434,16.0
435,11.0
436,8.0
437,6.0
438,6.0
439,4.0
440,4.0
441,7.0
442,13.0
443,15.0
444,16.0
445,16.0
446,15.0
447,15.0
448,10.0
449,10.0
450,11.0
451,15.0
452,23.0
453,28.0
454,31.0
455,32.0
456,45.0
457,48.0
458,52.0
459,80.0
460,116.0
461,126.0
462,145.0
463,140.0
464,124.0
465,113.0
466,113.0
467,99.0
468,3.0
469,6.0
470,4.0
471,19.0
472,24.0
473,36.0
474,32.0
475,29.0
476,34.0
477,35.0
478,29.0
479,33.0
480,25.0
481,19.0
482,26.0
483,27.0
484,23.0
485,23.0
486,22.0
487,23.0
488,23.0
489,16.0
490,13.0
491,6.0
492,6.0
493,6.0
494,6.0
495,5.0
496,4.0
497,5.0
498,11.0
499,15.0
500,15.0
501,15.0
502,16.0
503,16.0
504,10.0
505,10.0
506,11.0
507,13.0
508,18.0
509,23.0
510,22.0
511,28.0
512,37.0
513,48.0
514,50.0
515,64.0
516,105.0
517,121.0
518,121.0
519,110.0
520,112.0
521,107.0
522,104.0
523,90.0
524,59.0
525,4.0
526,0.0
527,19.0
528,29.0
529,28.0
530,27.0
531,26.0
532,27.0
533,33.0
534,31.0
535,25.0
536,27.0
537,17.0
538,16.0
539,25.0
540,21.0
541,20.0
542,17.0
543,19.0
544,18.0
545,14.0
546,8.0
547,6.0
548,6.0
549,6.0
550,6.0
551,5.0
552,6.0
553,8.0
554,11.0
555,14.0
556,16.0
557,19.0
558,19.0
559,14.0
560,10.0
561,10.0
562,12.0
563,14.0
564,15.0
565,20.0
566,20.0
567,24.0
568,29.0
569,42.0
570,49.0
571,78.0
572,103.0
573,114.0
574,119.0
575,108.0
576,105.0
577,99.0
578,96.0
579,82.0
580,56.0
581,29.0
582,1.0
583,1.0
584,28.0
585,29.0
586,30.0
587,25.0
588,24.0
589,25.0
590,30.0
591,25.0
592,25.0
593,18.0
594,14.0
595,13.0
596,17.0
597,16.0
598,14.0
599,12.0
600,11.0
601,8.0
602,7.0
603,6.0
604,6.0
605,6.0
606,5.0
607,6.0
608,8.0
609,9.0
610,12.0
611,13.0
612,16.0
613,15.0
614,14.0
615,14.0
616,8.0
617,9.0
618,12.0
619,14.0
620,15.0
621,17.0
622,20.0
623,23.0
624,29.0
625,46.0
626,58.0
627,67.0
628,84.0
629,102.0
630,120.0
631,114.0
632,108.0
633,99.0
634,83.0
635,72.0
636,46.0
637,38.0
638,1.0
639,1.0
640,31.0
641,33.0
642,32.0
643,32.0
644,27.0
645,26.0
646,25.0
647,29.0
648,24.0
649,13.0
650,10.0
651,10.0
652,12.0
653,11.0
654,7.0
655,6.0
656,5.0
657,5.0
658,6.0
659,5.0
660,5.0
661,4.0
662,5.0
663,7.0
664,9.0
665,10.0
666,17.0
667,19.0
668,17.0
669,16.0
670,14.0
671,14.0
672,5.0
673,8.0
674,13.0
675,15.0
676,15.0
677,18.0
678,21.0
679,29.0
680,34.0
681,57.0
682,63.0
683,70.0
684,69.0
685,88.0
686,115.0
687,118.0
688,113.0
689,93.0
690,80.0
691,62.0
692,48.0
693,40.0
694,24.0
695,20.0
696,30.0
697,34.0
698,31.0
