Grid_Number,Government_Facilities
0,1.0
1,1.0
2,1.0
3,2.0
4,4.0
5,4.0
6,5.0
7,5.0
8,6.0
9,3.0
10,3.0
11,3.0
12,5.0
13,5.0
14,5.0
15,8.0
16,7.0
17,6.0
18,5.0
19,5.0
20,1.0
21,1.0
22,5.0
23,5.0
24,1.0
25,1.0
26,1.0
27,1.0
28,0.0
29,1.0
30,3.0
31,2.0
32,2.0
33,4.0
34,5.0
35,3.0
36,3.0
37,3.0
38,0.0
39,0.0
40,0.0
41,0.0
42,5.0
43,3.0
44,2.0
45,2.0
46,1.0
47,1.0
48,1.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,1.0
57,1.0
58,1.0
59,4.0
60,4.0
61,2.0
62,5.0
63,5.0
64,3.0
65,4.0
66,4.0
67,4.0
68,7.0
69,5.0
70,6.0
71,9.0
72,10.0
73,7.0
74,7.0
75,5.0
76,5.0
77,1.0
78,2.0
79,5.0
80,3.0
81,1.0
82,1.0
83,1.0
84,1.0
85,3.0
86,3.0
87,2.0
88,3.0
89,5.0
90,6.0
91,0.0
92,3.0
93,3.0
94,3.0
95,0.0
96,0.0
97,0.0
98,5.0
99,3.0
100,2.0
101,2.0
102,2.0
103,1.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,1.0
113,1.0
114,3.0
115,4.0
116,5.0
117,5.0
118,5.0
119,5.0
120,6.0
121,5.0
122,5.0
123,10.0
124,8.0
125,8.0
126,9.0
127,12.0
128,12.0
129,8.0
130,8.0
131,7.0
132,5.0
133,5.0
134,2.0
135,2.0
136,3.0
137,3.0
138,1.0
139,1.0
140,3.0
141,3.0
142,4.0
143,3.0
144,3.0
145,5.0
146,6.0
147,4.0
148,0.0
149,3.0
150,3.0
151,5.0
152,0.0
153,0.0
154,5.0
155,2.0
156,2.0
157,2.0
158,2.0
159,1.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,4.0
170,4.0
171,3.0
172,5.0
173,5.0
174,5.0
175,5.0
176,6.0
177,5.0
178,10.0
179,9.0
180,9.0
181,11.0
182,10.0
183,15.0
184,15.0
185,11.0
186,9.0
187,8.0
188,7.0
189,5.0
190,6.0
191,2.0
192,3.0
193,3.0
194,3.0
195,1.0
196,1.0
197,3.0
198,4.0
199,3.0
200,3.0
201,5.0
202,6.0
203,3.0
204,0.0
205,2.0
206,0.0
