Grid_Number,Health
0,1.0
1,2.0
2,2.0
3,4.0
4,1.0
5,5.0
6,4.0
7,4.0
8,5.0
9,6.0
10,3.0
11,3.0
12,4.0
13,5.0
14,6.0
15,8.0
16,9.0
17,8.0
18,4.0
19,7.0
20,5.0
21,5.0
22,4.0
23,3.0
24,2.0
25,2.0
26,2.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,2.0
33,4.0
34,7.0
35,9.0
36,10.0
37,10.0
38,10.0
39,10.0
40,10.0
41,7.0
42,6.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,2.0
57,2.0
58,2.0
59,1.0
60,5.0
61,5.0
62,5.0
63,4.0
64,6.0
65,6.0
66,6.0
67,3.0
68,5.0
69,5.0
70,7.0
71,8.0
72,9.0
73,8.0
74,8.0
75,4.0
76,6.0
77,5.0
78,5.0
79,3.0
80,3.0
81,3.0
82,3.0
83,3.0
84,2.0
85,2.0
86,2.0
87,3.0
88,4.0
89,5.0
90,8.0
91,11.0
92,11.0
93,10.0
94,10.0
95,11.0
96,10.0
97,7.0
98,5.0
99,2.0
100,1.0
101,1.0
102,1.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,2.0
113,2.0
114,4.0
115,5.0
116,5.0
117,5.0
118,5.0
119,5.0
120,6.0
121,7.0
122,7.0
123,4.0
124,6.0
125,7.0
126,7.0
127,11.0
128,11.0
129,10.0
130,10.0
131,9.0
132,6.0
133,5.0
134,4.0
135,5.0
136,3.0
137,3.0
138,3.0
139,4.0
140,4.0
141,3.0
142,3.0
143,3.0
144,5.0
145,6.0
146,10.0
147,11.0
148,11.0
149,11.0
150,7.0
151,3.0
152,0.0
153,7.0
154,4.0
155,3.0
156,1.0
157,1.0
158,1.0
159,1.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,1.0
167,0.0
168,2.0
169,2.0
170,3.0
171,0.0
172,4.0
173,4.0
174,5.0
175,5.0
176,7.0
177,8.0
178,8.0
179,5.0
180,7.0
181,8.0
182,12.0
183,17.0
184,16.0
185,15.0
186,11.0
187,10.0
188,8.0
189,6.0
190,5.0
191,5.0
192,3.0
193,3.0
194,4.0
195,4.0
196,3.0
197,4.0
198,3.0
199,3.0
200,5.0
201,8.0
202,8.0
203,12.0
204,12.0
205,6.0
206,4.0
207,0.0
208,0.0
209,8.0
210,4.0
211,4.0
212,2.0
213,1.0
214,1.0
215,1.0
216,1.0
217,0.0
218,0.0
219,0.0
220,0.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.0
226,0.0
227,0.0
228,4.0
229,4.0
230,6.0
231,5.0
232,8.0
233,8.0
234,8.0
235,6.0
236,8.0
237,15.0
238,21.0
239,22.0
240,22.0
241,21.0
242,19.0
243,13.0
244,8.0
245,1.0
246,0.0
247,0.0
248,3.0
249,3.0
250,4.0
251,3.0
252,3.0
253,4.0
254,4.0
255,4.0
256,4.0
257,8.0
258,6.0
259,11.0
260,12.0
261,2.0
262,4.0
263,11.0
264,10.0
265,5.0
266,5.0
267,3.0
268,2.0
269,2.0
270,1.0
271,1.0
272,0.0
273,0.0
274,0.0
275,0.0
