Grid_Number,Utilities
0,1.0
1,1.0
2,1.0
3,3.0
4,3.0
5,3.0
6,3.0
7,3.0
8,0.0
9,0.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,4.0
16,4.0
17,4.0
18,4.0
19,4.0
20,4.0
21,4.0
22,0.0
23,0.0
24,3.0
25,3.0
26,3.0
27,3.0
28,0.0
29,3.0
30,3.0
31,1.0
32,1.0
33,3.0
34,6.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,4.0
42,3.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,1.0
57,2.0
58,0.0
59,0.0
60,0.0
61,0.0
62,3.0
63,3.0
64,3.0
65,0.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,4.0
72,4.0
73,4.0
74,4.0
75,4.0
76,4.0
77,4.0
78,0.0
79,0.0
80,3.0
81,3.0
82,3.0
83,3.0
84,3.0
85,3.0
86,3.0
87,1.0
88,1.0
89,3.0
90,6.0
91,6.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,3.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,2.0
113,2.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,3.0
120,3.0
121,3.0
122,3.0
123,1.0
124,1.0
125,1.0
126,1.0
127,6.0
128,6.0
129,5.0
130,5.0
131,4.0
132,4.0
133,4.0
134,0.0
135,0.0
136,3.0
137,3.0
138,3.0
139,3.0
140,3.0
141,3.0
142,3.0
143,1.0
144,1.0
145,3.0
146,6.0
147,0.0
148,0.0
149,0.0
150,1.0
151,1.0
152,0.0
153,0.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,2.0
169,2.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,3.0
177,3.0
178,3.0
179,1.0
180,1.0
181,2.0
182,3.0
183,9.0
184,9.0
185,9.0
186,8.0
187,5.0
188,4.0
189,4.0
190,4.0
191,0.0
192,3.0
193,3.0
194,3.0
195,3.0
196,0.0
197,3.0
198,3.0
199,1.0
200,1.0
201,3.0
202,5.0
203,0.0
204,0.0
205,1.0
206,1.0
207,0.0
