Grid_Number,Grid_Population,Status
0,2874,0
1,71,0
2,0,0
3,365,0
4,326,0
5,58,0
6,11,0
7,54,0
8,3015,0
9,3853,0
10,2774,0
11,2206,0
12,1885,0
13,1187,0
14,1989,0
15,3452,0
16,4380,0
17,5598,0
18,3145,0
19,2705,0
20,1256,0
21,541,0
22,212,0
23,414,0
24,255,0
25,1156,1
26,0,0
27,0,0
28,0,0
29,0,0
30,97,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,361,0
42,366,0
43,7879,0
44,1782,0
45,467,0
46,1057,0
47,85,0
48,133,0
49,245,0
50,445,0
51,2020,0
52,3054,0
53,1074,0
54,744,0
55,1577,0
56,1150,0
57,2521,0
58,3368,0
59,5887,0
60,5535,0
61,4249,0
62,2728,0
63,1516,0
64,809,0
65,35,0
66,1001,1
67,1361,1
68,842,1
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,73,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,8026,0
87,1744,0
88,2906,0
89,455,0
90,647,0
91,92,0
92,137,0
93,589,0
94,1370,0
95,1801,0
96,183,0
97,791,0
98,603,0
99,901,0
100,2826,0
101,4088,0
102,6593,0
103,5818,0
104,3313,0
105,2656,0
106,2148,1
107,1570,1
108,629,1
109,627,1
110,1174,1
111,693,1
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,73,0
118,54,0
119,0,0
120,0,0
121,0,0
122,0,0
123,125,0
124,113,0
125,167,0
126,0,0
127,0,0
128,0,0
129,1517,0
130,92,0
131,47,0
132,190,0
133,627,0
134,105,0
135,567,0
136,1107,0
137,930,0
138,144,0
139,861,0
140,338,0
141,1138,0
142,2921,0
143,5481,0
144,6790,0
145,7286,0
146,5878,0
147,2169,0
148,1604,0
149,1901,1
150,1602,1
151,1675,1
152,922,1
153,1208,1
154,685,1
155,8,0
156,7,0
157,0,0
158,0,0
159,0,0
160,27,0
161,57,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,47,0
173,144,0
174,21,0
175,820,0
176,69,0
177,31,0
178,351,0
179,749,0
180,1266,0
181,1255,0
182,2380,0
183,2178,0
184,4013,0
185,2999,0
186,5186,0
187,6399,1
188,7820,1
189,6183,1
190,2779,1
191,538,1
192,375,1
193,61,1
194,437,1
195,458,1
196,402,1
197,9,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,805,0
216,423,0
217,182,0
218,103,0
219,939,0
