Grid_Number,Connectivity
0,0.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,2.0
10,2.0
11,3.0
12,4.0
13,5.0
14,6.0
15,7.0
16,6.0
17,6.0
18,5.0
19,3.0
20,3.0
21,3.0
22,3.0
23,3.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,1.0
44,1.0
45,1.0
46,0.0
47,0.0
48,2.0
49,2.0
50,2.0
51,2.0
52,2.0
53,3.0
54,4.0
55,5.0
56,6.0
57,6.0
58,7.0
59,7.0
60,6.0
61,7.0
62,4.0
63,3.0
64,3.0
65,3.0
66,3.0
67,2.0
68,1.0
69,1.0
70,1.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,1.0
87,1.0
88,2.0
89,0.0
90,0.0
91,0.0
92,2.0
93,3.0
94,3.0
95,2.0
96,2.0
97,4.0
98,6.0
99,7.0
100,7.0
101,8.0
102,8.0
103,9.0
104,7.0
105,6.0
106,5.0
107,3.0
108,3.0
109,3.0
110,2.0
111,2.0
112,1.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,1.0
130,2.0
131,2.0
132,2.0
133,0.0
134,0.0
135,0.0
136,2.0
137,3.0
138,2.0
139,3.0
140,5.0
141,7.0
142,7.0
143,7.0
144,8.0
145,10.0
146,10.0
147,9.0
148,6.0
149,5.0
150,4.0
151,3.0
152,2.0
153,2.0
154,1.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,1.0
173,2.0
174,2.0
175,2.0
176,2.0
177,0.0
178,2.0
179,2.0
180,2.0
181,3.0
182,3.0
183,5.0
184,7.0
185,8.0
186,9.0
187,9.0
188,9.0
189,10.0
190,9.0
191,7.0
192,6.0
193,4.0
194,4.0
195,2.0
196,1.0
197,1.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,1.0
216,2.0
217,2.0
218,2.0
219,2.0
220,2.0
221,2.0
222,2.0
223,2.0
224,3.0
225,5.0
226,5.0
227,8.0
228,8.0
229,10.0
230,10.0
231,10.0
232,9.0
233,9.0
234,7.0
235,6.0
236,3.0
237,3.0
238,1.0
239,1.0
240,1.0
241,1.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,1.0
259,3.0
260,3.0
261,3.0
262,3.0
263,2.0
264,2.0
265,2.0
266,3.0
267,3.0
268,5.0
269,5.0
270,7.0
271,8.0
272,10.0
273,10.0
274,9.0
275,8.0
276,8.0
277,5.0
278,4.0
279,4.0
280,3.0
281,2.0
282,1.0
283,1.0
284,1.0
285,1.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,2.0
302,3.0
303,3.0
304,3.0
305,3.0
306,3.0
307,2.0
308,3.0
309,3.0
310,3.0
311,4.0
312,5.0
313,7.0
314,8.0
315,10.0
316,11.0
317,11.0
318,11.0
319,9.0
320,6.0
321,4.0
322,4.0
323,4.0
324,2.0
325,2.0
326,1.0
327,1.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,2.0
345,2.0
346,3.0
347,3.0
348,3.0
349,4.0
350,5.0
351,5.0
352,5.0
353,4.0
354,5.0
355,7.0
356,6.0
357,8.0
358,11.0
359,12.0
360,12.0
361,12.0
362,9.0
363,6.0
364,4.0
365,4.0
366,3.0
367,3.0
368,2.0
369,2.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,2.0
388,2.0
389,4.0
390,5.0
391,6.0
392,6.0
393,6.0
394,5.0
395,4.0
396,4.0
397,5.0
398,6.0
399,7.0
400,9.0
401,1.0
402,12.0
403,12.0
404,11.0
405,7.0
406,7.0
407,6.0
408,4.0
409,3.0
410,3.0
411,3.0
412,1.0
413,1.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,3.0
431,4.0
432,4.0
433,5.0
434,6.0
435,7.0
436,7.0
437,3.0
438,4.0
439,6.0
440,6.0
441,6.0
442,7.0
443,9.0
444,12.0
445,1.0
446,1.0
447,9.0
448,12.0
449,7.0
450,5.0
451,4.0
452,2.0
453,2.0
454,3.0
455,3.0
456,1.0
457,1.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,4.0
474,5.0
475,5.0
476,7.0
477,6.0
478,7.0
479,7.0
480,5.0
481,5.0
482,5.0
483,6.0
484,6.0
485,8.0
486,14.0
487,14.0
488,8.0
489,0.0
490,13.0
491,13.0
492,12.0
493,5.0
494,4.0
495,2.0
496,2.0
497,2.0
498,2.0
499,3.0
500,1.0
501,1.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,6.0
517,6.0
518,7.0
519,8.0
520,7.0
521,8.0
522,6.0
523,6.0
524,4.0
525,5.0
526,6.0
527,6.0
528,10.0
529,14.0
530,7.0
531,7.0
532,14.0
533,1.0
534,14.0
535,12.0
536,6.0
537,4.0
538,2.0
539,2.0
540,2.0
541,2.0
542,1.0
543,1.0
544,1.0
545,1.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,6.0
560,7.0
561,7.0
562,8.0
563,9.0
564,9.0
565,7.0
566,7.0
567,6.0
568,5.0
569,5.0
570,5.0
571,12.0
572,8.0
573,0.0
574,1.0
575,1.0
576,1.0
577,0.0
578,14.0
579,11.0
580,3.0
581,2.0
582,2.0
583,2.0
584,0.0
585,0.0
586,1.0
587,1.0
588,1.0
589,1.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,6.0
603,6.0
604,7.0
605,9.0
606,9.0
607,9.0
608,7.0
609,8.0
610,6.0
611,6.0
612,5.0
613,4.0
614,11.0
615,14.0
616,1.0
617,1.0
618,2.0
619,1.0
620,1.0
621,5.0
622,4.0
623,3.0
624,2.0
625,2.0
626,2.0
627,2.0
628,0.0
629,1.0
630,1.0
631,1.0
632,1.0
633,1.0
634,0.0
635,0.0
636,0.0
637,0.0
