Grid_Number,Education
0,21.0
1,25.0
2,25.0
3,29.0
4,34.0
5,29.0
6,28.0
7,36.0
8,35.0
9,41.0
10,52.0
11,59.0
12,73.0
13,119.0
14,150.0
15,159.0
16,155.0
17,146.0
18,138.0
19,132.0
20,122.0
21,80.0
22,70.0
23,54.0
24,43.0
25,32.0
26,21.0
27,18.0
28,16.0
29,13.0
30,12.0
31,11.0
32,12.0
33,14.0
34,14.0
35,13.0
36,11.0
37,16.0
38,18.0
39,15.0
40,12.0
41,10.0
42,9.0
43,23.0
44,28.0
45,33.0
46,37.0
47,44.0
48,44.0
49,43.0
50,52.0
51,47.0
52,56.0
53,74.0
54,82.0
55,109.0
56,136.0
57,163.0
58,166.0
59,178.0
60,172.0
61,162.0
62,150.0
63,132.0
64,118.0
65,102.0
66,74.0
67,63.0
68,55.0
69,37.0
70,24.0
71,18.0
72,15.0
73,10.0
74,16.0
75,15.0
76,16.0
77,17.0
78,17.0
79,15.0
80,17.0
81,19.0
82,16.0
83,14.0
84,11.0
85,9.0
86,25.0
87,31.0
88,36.0
89,47.0
90,50.0
91,49.0
92,53.0
93,53.0
94,68.0
95,77.0
96,85.0
97,101.0
98,128.0
99,152.0
100,184.0
101,194.0
102,189.0
103,179.0
104,169.0
105,156.0
106,163.0
107,135.0
108,104.0
109,73.0
110,66.0
111,62.0
112,54.0
113,42.0
114,21.0
115,19.0
116,15.0
117,16.0
118,17.0
119,17.0
120,17.0
121,19.0
122,20.0
123,19.0
124,18.0
125,19.0
126,14.0
127,13.0
128,11.0
129,24.0
130,37.0
131,43.0
132,50.0
133,56.0
134,60.0
135,54.0
136,60.0
137,81.0
138,86.0
139,97.0
140,122.0
141,157.0
142,192.0
143,233.0
144,223.0
145,217.0
146,204.0
147,189.0
148,176.0
149,182.0
150,136.0
151,103.0
152,77.0
153,69.0
154,72.0
155,59.0
156,53.0
157,26.0
158,18.0
159,17.0
160,18.0
161,17.0
162,22.0
163,22.0
164,24.0
165,27.0
166,26.0
167,19.0
168,19.0
169,15.0
170,13.0
171,11.0
172,29.0
173,38.0
174,52.0
175,62.0
176,66.0
177,62.0
178,54.0
179,68.0
180,82.0
181,99.0
182,122.0
183,140.0
184,165.0
185,212.0
186,239.0
187,249.0
188,241.0
189,220.0
190,215.0
191,190.0
192,183.0
193,128.0
194,91.0
195,74.0
196,74.0
197,69.0
198,59.0
199,55.0
200,35.0
201,24.0
202,21.0
203,17.0
204,21.0
205,24.0
206,24.0
207,26.0
208,29.0
209,29.0
210,21.0
211,13.0
212,12.0
213,14.0
214,12.0
215,35.0
216,50.0
217,58.0
218,63.0
219,71.0
220,67.0
221,71.0
222,74.0
223,79.0
224,119.0
225,137.0
226,157.0
227,183.0
228,211.0
229,249.0
230,261.0
231,258.0
232,222.0
233,198.0
234,177.0
235,135.0
236,114.0
237,87.0
238,78.0
239,68.0
240,67.0
241,68.0
242,60.0
243,40.0
244,22.0
245,23.0
246,25.0
247,23.0
248,21.0
249,24.0
250,23.0
251,24.0
252,24.0
253,21.0
254,16.0
255,11.0
256,11.0
257,11.0
258,38.0
259,51.0
260,66.0
261,64.0
262,68.0
263,70.0
264,76.0
265,84.0
266,96.0
267,125.0
268,143.0
269,183.0
270,206.0
271,209.0
272,240.0
273,270.0
274,260.0
275,234.0
276,190.0
277,155.0
278,136.0
279,113.0
280,87.0
281,77.0
282,74.0
283,70.0
284,68.0
285,60.0
286,37.0
287,27.0
288,26.0
289,28.0
290,26.0
291,22.0
292,22.0
293,21.0
294,21.0
295,24.0
296,20.0
297,20.0
298,12.0
299,11.0
300,10.0
301,43.0
302,53.0
303,65.0
304,80.0
305,84.0
306,91.0
307,101.0
308,125.0
309,127.0
310,152.0
311,158.0
312,192.0
313,214.0
314,225.0
315,246.0
316,257.0
317,252.0
318,242.0
319,200.0
320,174.0
321,157.0
322,141.0
323,97.0
324,79.0
325,77.0
326,81.0
327,78.0
328,57.0
329,41.0
330,32.0
331,30.0
332,30.0
333,28.0
334,26.0
335,21.0
336,20.0
337,20.0
338,21.0
339,21.0
340,21.0
341,15.0
342,11.0
343,10.0
344,39.0
345,44.0
346,70.0
347,85.0
348,92.0
349,114.0
350,138.0
351,164.0
352,178.0
353,194.0
354,214.0
355,235.0
356,243.0
357,255.0
358,302.0
359,308.0
360,299.0
361,279.0
362,231.0
363,187.0
364,167.0
365,147.0
366,106.0
367,86.0
368,85.0
369,88.0
370,84.0
371,61.0
372,41.0
373,34.0
374,35.0
375,34.0
376,32.0
377,29.0
378,24.0
379,19.0
380,21.0
381,22.0
382,19.0
383,23.0
384,16.0
385,13.0
386,10.0
387,36.0
388,51.0
389,70.0
390,99.0
391,144.0
392,172.0
393,199.0
394,209.0
395,230.0
396,275.0
397,291.0
398,300.0
399,312.0
400,345.0
401,56.0
402,377.0
403,350.0
404,323.0
405,289.0
406,221.0
407,190.0
408,163.0
409,151.0
410,103.0
411,90.0
412,94.0
413,72.0
414,60.0
415,48.0
416,39.0
417,37.0
418,35.0
419,31.0
420,29.0
421,23.0
422,21.0
423,20.0
424,19.0
425,20.0
426,22.0
427,17.0
428,12.0
429,9.0
430,40.0
431,70.0
432,92.0
433,146.0
434,179.0
435,200.0
436,220.0
437,230.0
438,274.0
439,299.0
440,313.0
441,320.0
442,363.0
443,411.0
444,418.0
445,54.0
446,64.0
447,379.0
448,346.0
449,268.0
450,235.0
451,185.0
452,154.0
453,107.0
454,87.0
455,76.0
456,68.0
457,64.0
458,54.0
459,43.0
460,34.0
461,24.0
462,27.0
463,24.0
464,23.0
465,22.0
466,20.0
467,19.0
468,20.0
469,22.0
470,21.0
471,15.0
472,10.0
473,58.0
474,95.0
475,126.0
476,168.0
477,200.0
478,209.0
479,245.0
480,272.0
481,288.0
482,285.0
483,297.0
484,339.0
485,390.0
486,445.0
487,500.0
488,503.0
489,95.0
490,459.0
491,432.0
492,380.0
493,288.0
494,224.0
495,154.0
496,114.0
497,89.0
498,82.0
499,69.0
500,60.0
501,54.0
502,44.0
503,37.0
504,24.0
505,25.0
506,26.0
507,29.0
508,27.0
509,27.0
510,28.0
511,27.0
512,26.0
513,20.0
514,16.0
515,12.0
516,63.0
517,114.0
518,142.0
519,185.0
520,212.0
521,223.0
522,239.0
523,286.0
524,299.0
525,305.0
526,293.0
527,387.0
528,429.0
529,456.0
530,524.0
531,543.0
532,536.0
533,116.0
534,503.0
535,433.0
536,333.0
537,263.0
538,174.0
539,125.0
540,101.0
541,87.0
542,81.0
543,59.0
544,56.0
545,44.0
546,38.0
547,27.0
548,24.0
549,31.0
550,29.0
551,34.0
552,33.0
553,30.0
554,33.0
555,30.0
556,23.0
557,20.0
558,17.0
559,73.0
560,111.0
561,150.0
562,190.0
563,219.0
564,228.0
565,249.0
566,305.0
567,310.0
568,310.0
569,301.0
570,384.0
571,428.0
572,488.0
573,113.0
574,139.0
575,162.0
576,132.0
577,100.0
578,501.0
579,381.0
580,275.0
581,190.0
582,137.0
583,117.0
584,89.0
585,77.0
586,59.0
587,53.0
588,46.0
589,33.0
590,29.0
591,25.0
592,31.0
593,34.0
594,30.0
595,35.0
596,38.0
597,45.0
598,32.0
599,27.0
600,22.0
601,24.0
602,75.0
603,112.0
604,149.0
605,182.0
606,216.0
607,243.0
608,258.0
609,305.0
610,310.0
611,313.0
612,312.0
613,380.0
614,415.0
615,482.0
616,122.0
617,165.0
618,176.0
619,137.0
620,117.0
621,547.0
622,420.0
623,290.0
624,198.0
625,148.0
626,122.0
627,93.0
628,81.0
629,62.0
630,53.0
631,48.0
632,37.0
633,29.0
634,35.0
635,30.0
636,30.0
637,29.0
638,33.0
639,39.0
640,44.0
641,40.0
642,28.0
643,24.0
644,23.0
645,87.0
646,119.0
647,154.0
648,192.0
649,211.0
650,230.0
651,263.0
652,302.0
653,290.0
654,295.0
655,292.0
656,345.0
657,14.0
658,41.0
659,103.0
660,156.0
661,178.0
662,597.0
663,147.0
664,539.0
665,411.0
666,304.0
667,210.0
668,143.0
669,122.0
670,90.0
671,89.0
672,58.0
673,54.0
674,43.0
675,38.0
676,35.0
677,31.0
678,27.0
679,31.0
680,32.0
681,35.0
682,40.0
683,42.0
684,43.0
685,33.0
686,25.0
687,23.0
688,87.0
689,125.0
690,153.0
691,183.0
692,213.0
693,245.0
694,259.0
695,258.0
696,256.0
697,253.0
698,246.0
699,312.0
700,17.0
701,35.0
702,80.0
703,129.0
704,565.0
705,579.0
706,166.0
707,505.0
708,402.0
709,326.0
710,236.0
711,141.0
712,109.0
713,91.0
714,71.0
715,57.0
716,51.0
717,44.0
718,38.0
719,34.0
720,31.0
721,30.0
722,33.0
723,36.0
724,37.0
725,42.0
726,43.0
727,48.0
728,38.0
729,29.0
730,29.0
731,93.0
732,119.0
733,151.0
734,175.0
735,196.0
736,224.0
737,238.0
738,210.0
739,213.0
740,201.0
741,197.0
742,35.0
743,18.0
744,27.0
745,56.0
746,84.0
747,116.0
748,155.0
749,142.0
750,455.0
751,392.0
752,337.0
753,246.0
754,150.0
755,110.0
756,86.0
757,60.0
758,50.0
759,46.0
760,43.0
761,36.0
762,36.0
763,34.0
764,33.0
765,33.0
766,39.0
767,42.0
768,43.0
769,47.0
770,45.0
771,40.0
772,32.0
773,30.0
774,91.0
775,120.0
776,141.0
777,160.0
778,179.0
779,190.0
780,203.0
781,176.0
782,19.0
783,30.0
784,139.0
785,29.0
786,21.0
787,27.0
788,40.0
789,50.0
790,75.0
791,120.0
792,122.0
793,407.0
794,381.0
795,309.0
796,234.0
797,137.0
798,99.0
799,74.0
800,56.0
801,53.0
802,52.0
803,49.0
804,37.0
805,35.0
806,36.0
807,35.0
808,37.0
809,38.0
810,43.0
811,48.0
812,49.0
813,47.0
814,29.0
815,28.0
816,26.0
817,91.0
818,116.0
819,132.0
820,144.0
821,150.0
822,157.0
