Grid_Number,Government_Facilities
0,2.0
1,2.0
2,4.0
3,5.0
4,4.0
5,4.0
6,6.0
7,5.0
8,5.0
9,6.0
10,8.0
11,15.0
12,18.0
13,24.0
14,29.0
15,32.0
16,31.0
17,30.0
18,27.0
19,22.0
20,20.0
21,13.0
22,9.0
23,8.0
24,6.0
25,4.0
26,4.0
27,4.0
28,4.0
29,2.0
30,3.0
31,0.0
32,2.0
33,4.0
34,4.0
35,4.0
36,5.0
37,5.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,2.0
44,4.0
45,5.0
46,3.0
47,3.0
48,6.0
49,4.0
50,4.0
51,6.0
52,7.0
53,12.0
54,16.0
55,23.0
56,27.0
57,32.0
58,34.0
59,36.0
60,35.0
61,32.0
62,27.0
63,21.0
64,16.0
65,15.0
66,11.0
67,9.0
68,8.0
69,8.0
70,4.0
71,4.0
72,3.0
73,3.0
74,4.0
75,4.0
76,4.0
77,4.0
78,4.0
79,5.0
80,5.0
81,3.0
82,2.0
83,4.0
84,1.0
85,1.0
86,2.0
87,5.0
88,3.0
89,3.0
90,6.0
91,6.0
92,7.0
93,5.0
94,7.0
95,9.0
96,14.0
97,18.0
98,27.0
99,31.0
100,36.0
101,36.0
102,36.0
103,35.0
104,35.0
105,32.0
106,27.0
107,21.0
108,17.0
109,11.0
110,11.0
111,9.0
112,10.0
113,8.0
114,5.0
115,4.0
116,4.0
117,4.0
118,4.0
119,5.0
120,6.0
121,6.0
122,7.0
123,5.0
124,5.0
125,5.0
126,5.0
127,4.0
128,1.0
129,5.0
130,3.0
131,3.0
132,6.0
133,6.0
134,6.0
135,7.0
136,5.0
137,9.0
138,11.0
139,16.0
140,21.0
141,31.0
142,38.0
143,43.0
144,38.0
145,37.0
146,37.0
147,35.0
148,30.0
149,31.0
150,23.0
151,18.0
152,13.0
153,12.0
154,14.0
155,12.0
156,10.0
157,7.0
158,5.0
159,5.0
160,4.0
161,5.0
162,7.0
163,3.0
164,3.0
165,4.0
166,4.0
167,6.0
168,5.0
169,5.0
170,5.0
171,3.0
172,5.0
173,3.0
174,6.0
175,7.0
176,7.0
177,6.0
178,7.0
179,8.0
180,9.0
181,10.0
182,19.0
183,25.0
184,28.0
185,38.0
186,45.0
187,45.0
188,40.0
189,39.0
190,34.0
191,29.0
192,31.0
193,24.0
194,16.0
195,14.0
196,16.0
197,15.0
198,11.0
199,10.0
200,10.0
201,6.0
202,5.0
203,6.0
204,7.0
205,4.0
206,5.0
207,1.0
208,1.0
209,2.0
210,7.0
211,4.0
212,4.0
213,5.0
214,4.0
215,3.0
216,5.0
217,7.0
218,7.0
219,8.0
220,8.0
221,7.0
222,8.0
223,8.0
224,14.0
225,19.0
226,24.0
227,28.0
228,42.0
229,46.0
230,51.0
231,47.0
232,38.0
233,31.0
234,28.0
235,23.0
236,23.0
237,15.0
238,16.0
239,16.0
240,18.0
241,17.0
242,16.0
243,11.0
244,6.0
245,5.0
246,8.0
247,9.0
248,9.0
249,4.0
250,5.0
251,1.0
252,4.0
253,5.0
254,7.0
255,4.0
256,4.0
257,3.0
258,4.0
259,7.0
260,7.0
261,8.0
262,8.0
263,7.0
264,6.0
265,9.0
266,12.0
267,19.0
268,22.0
269,28.0
270,34.0
271,39.0
272,41.0
273,45.0
274,45.0
275,45.0
276,31.0
277,28.0
278,25.0
279,20.0
280,16.0
281,19.0
282,20.0
283,19.0
284,18.0
285,16.0
286,13.0
287,9.0
288,6.0
289,10.0
290,8.0
291,3.0
292,3.0
293,4.0
294,4.0
295,4.0
296,5.0
297,4.0
298,4.0
299,4.0
300,3.0
301,5.0
302,6.0
303,8.0
304,9.0
305,7.0
306,7.0
307,7.0
308,14.0
309,16.0
310,23.0
311,22.0
312,29.0
313,33.0
314,36.0
315,38.0
316,42.0
317,40.0
318,37.0
319,32.0
320,28.0
321,27.0
322,22.0
323,19.0
324,22.0
325,22.0
326,18.0
327,17.0
328,16.0
329,10.0
330,9.0
331,6.0
332,10.0
333,4.0
334,3.0
335,4.0
336,4.0
337,4.0
338,5.0
339,2.0
340,6.0
341,4.0
342,4.0
343,4.0
344,5.0
345,7.0
346,8.0
347,10.0
348,10.0
349,8.0
350,10.0
351,19.0
352,22.0
353,26.0
354,30.0
355,35.0
356,35.0
357,39.0
358,49.0
359,46.0
360,41.0
361,35.0
362,33.0
363,29.0
364,25.0
365,24.0
366,21.0
367,21.0
368,21.0
369,20.0
370,18.0
371,16.0
372,10.0
373,9.0
374,9.0
375,6.0
376,3.0
377,4.0
378,4.0
379,8.0
380,3.0
381,0.0
382,6.0
383,8.0
384,4.0
385,4.0
386,4.0
387,5.0
388,10.0
389,12.0
390,15.0
391,18.0
392,22.0
393,22.0
394,24.0
395,26.0
396,39.0
397,39.0
398,42.0
399,46.0
400,64.0
401,12.0
402,82.0
403,81.0
404,68.0
405,34.0
406,29.0
407,25.0
408,24.0
409,27.0
410,23.0
411,21.0
412,20.0
413,19.0
414,13.0
415,10.0
416,10.0
417,9.0
418,4.0
419,4.0
420,4.0
421,8.0
422,8.0
423,9.0
424,4.0
425,9.0
426,8.0
427,4.0
428,6.0
429,6.0
430,8.0
431,14.0
432,14.0
433,19.0
434,23.0
435,28.0
436,26.0
437,25.0
438,33.0
439,41.0
440,41.0
441,46.0
442,75.0
443,88.0
444,93.0
445,12.0
446,13.0
447,102.0
448,86.0
449,45.0
450,30.0
451,29.0
452,26.0
453,20.0
454,18.0
455,19.0
456,17.0
457,13.0
458,10.0
459,10.0
460,9.0
461,5.0
462,4.0
463,8.0
464,8.0
465,8.0
466,9.0
467,9.0
468,8.0
469,4.0
470,7.0
471,7.0
472,6.0
473,16.0
474,20.0
475,22.0
476,23.0
477,26.0
478,28.0
479,28.0
480,36.0
481,34.0
482,34.0
483,40.0
484,59.0
485,87.0
486,94.0
487,139.0
488,157.0
489,12.0
490,162.0
491,154.0
492,93.0
493,47.0
494,32.0
495,28.0
496,22.0
497,21.0
498,19.0
499,18.0
500,13.0
501,10.0
502,10.0
503,7.0
504,5.0
505,5.0
506,7.0
507,8.0
508,8.0
509,9.0
510,8.0
511,7.0
512,7.0
513,7.0
514,7.0
515,5.0
516,18.0
517,22.0
518,26.0
519,29.0
520,30.0
521,30.0
522,27.0
523,37.0
524,34.0
525,33.0
526,37.0
527,69.0
528,90.0
529,130.0
530,175.0
531,175.0
532,172.0
533,17.0
534,181.0
535,155.0
536,72.0
537,35.0
538,27.0
539,25.0
540,21.0
541,20.0
542,18.0
543,12.0
544,11.0
545,9.0
546,7.0
547,3.0
548,5.0
549,5.0
550,8.0
551,10.0
552,10.0
553,7.0
554,8.0
555,8.0
556,8.0
557,6.0
558,6.0
559,20.0
560,24.0
561,30.0
562,34.0
563,37.0
564,33.0
565,30.0
566,36.0
567,34.0
568,33.0
569,41.0
570,77.0
571,95.0
572,158.0
573,49.0
574,56.0
575,78.0
576,44.0
577,21.0
578,177.0
579,127.0
580,53.0
581,26.0
582,24.0
583,22.0
584,20.0
585,16.0
586,11.0
587,11.0
588,10.0
589,6.0
590,3.0
591,4.0
592,6.0
593,10.0
594,10.0
595,8.0
596,11.0
597,11.0
598,10.0
599,10.0
600,4.0
601,6.0
602,23.0
603,27.0
604,33.0
605,37.0
606,38.0
607,37.0
608,33.0
609,39.0
610,32.0
611,33.0
612,41.0
613,75.0
614,109.0
615,159.0
616,52.0
617,89.0
618,123.0
619,99.0
620,46.0
621,184.0
622,137.0
623,82.0
624,26.0
625,23.0
626,20.0
627,19.0
628,16.0
629,12.0
630,10.0
631,7.0
632,6.0
633,3.0
634,8.0
635,8.0
636,8.0
637,8.0
638,9.0
639,8.0
640,10.0
641,6.0
642,10.0
643,10.0
644,4.0
645,26.0
646,32.0
647,34.0
648,38.0
649,41.0
650,38.0
651,35.0
652,38.0
653,31.0
654,29.0
655,29.0
656,57.0
657,4.0
658,6.0
659,24.0
660,99.0
661,113.0
662,195.0
663,81.0
664,181.0
665,140.0
666,88.0
667,28.0
668,21.0
669,20.0
670,16.0
671,16.0
672,11.0
673,11.0
674,9.0
675,8.0
676,6.0
677,5.0
678,8.0
679,8.0
680,8.0
681,10.0
682,12.0
683,10.0
684,6.0
685,10.0
686,10.0
687,9.0
688,27.0
689,23.0
690,38.0
691,42.0
692,44.0
693,45.0
694,36.0
695,33.0
696,29.0
697,30.0
698,26.0
699,38.0
700,3.0
701,5.0
702,12.0
703,58.0
704,187.0
705,188.0
706,70.0
707,166.0
708,139.0
709,87.0
710,41.0
711,19.0
712,19.0
713,18.0
714,12.0
715,11.0
716,10.0
717,9.0
718,9.0
719,9.0
720,5.0
721,6.0
722,9.0
723,8.0
724,11.0
725,12.0
726,12.0
727,10.0
728,9.0
729,9.0
730,9.0
731,26.0
732,22.0
733,27.0
734,41.0
735,44.0
736,40.0
737,42.0
738,30.0
739,25.0
740,22.0
741,19.0
742,2.0
743,1.0
744,3.0
745,8.0
746,12.0
747,66.0
748,66.0
749,41.0
750,146.0
751,134.0
752,65.0
753,44.0
754,22.0
755,18.0
756,16.0
757,10.0
758,10.0
759,10.0
760,9.0
761,9.0
762,10.0
763,8.0
764,6.0
765,6.0
766,9.0
767,9.0
768,12.0
769,12.0
770,14.0
771,10.0
772,10.0
773,10.0
774,26.0
775,32.0
776,34.0
777,39.0
778,39.0
779,35.0
780,35.0
781,22.0
782,3.0
783,0.0
784,13.0
785,0.0
786,2.0
787,3.0
788,6.0
789,8.0
790,12.0
791,33.0
792,34.0
793,136.0
794,99.0
795,56.0
796,37.0
797,23.0
798,16.0
799,11.0
800,11.0
801,10.0
802,9.0
803,9.0
804,9.0
805,10.0
806,8.0
807,6.0
808,7.0
809,7.0
810,10.0
811,11.0
812,15.0
813,15.0
814,8.0
815,10.0
816,10.0
817,26.0
818,32.0
819,34.0
820,36.0
821,31.0
822,32.0
823,30.0
824,24.0
825,0.0
826,3.0
827,3.0
828,17.0
829,1.0
830,4.0
831,2.0
832,7.0
833,12.0
834,20.0
835,131.0
836,108.0
837,68.0
838,52.0
839,27.0
840,14.0
841,12.0
842,14.0
843,12.0
844,11.0
845,11.0
846,10.0
847,9.0
848,9.0
849,9.0
850,7.0
851,7.0
852,9.0
853,11.0
854,13.0
855,11.0
856,12.0
857,10.0
858,10.0
859,8.0
860,23.0
861,31.0
862,33.0
863,31.0
864,29.0
865,7.0
866,6.0
867,29.0
868,25.0
869,2.0
870,5.0
871,1.0
872,1.0
873,2.0
874,2.0
875,2.0
876,8.0
877,12.0
878,83.0
879,67.0
880,58.0
881,51.0
882,31.0
883,17.0
884,15.0
885,15.0
886,12.0
887,11.0
888,9.0
889,11.0
890,9.0
891,8.0
892,9.0
893,7.0
894,8.0
895,9.0
896,11.0
897,12.0
898,7.0
899,10.0
900,10.0
901,10.0
902,5.0
903,19.0
904,24.0
905,28.0
906,28.0
907,9.0
908,9.0
909,7.0
910,28.0
911,2.0
912,3.0
913,4.0
914,3.0
915,0.0
916,1.0
917,4.0
918,4.0
919,5.0
920,5.0
921,6.0
922,64.0
923,55.0
924,39.0
925,30.0
926,27.0
927,16.0
928,15.0
929,12.0
930,10.0
931,9.0
932,9.0
933,9.0
934,9.0
935,7.0
936,6.0
937,9.0
938,9.0
939,9.0
940,12.0
941,10.0
942,9.0
943,10.0
944,9.0
945,9.0
946,16.0
947,19.0
948,25.0
949,26.0
950,9.0
951,3.0
952,5.0
953,5.0
954,5.0
955,5.0
956,7.0
957,4.0
958,4.0
959,1.0
960,2.0
961,3.0
962,5.0
963,5.0
964,49.0
965,48.0
966,40.0
967,36.0
968,31.0
969,25.0
970,19.0
971,16.0
972,13.0
973,10.0
974,9.0
975,9.0
976,5.0
977,9.0
978,5.0
979,5.0
980,7.0
981,7.0
982,7.0
983,9.0
984,10.0
985,9.0
986,8.0
987,8.0
988,7.0
989,11.0
990,17.0
991,22.0
992,6.0
993,6.0
994,5.0
995,3.0
996,7.0
997,8.0
998,2.0
999,6.0
1000,5.0
1001,2.0
1002,4.0
1003,2.0
1004,3.0
1005,4.0
1006,7.0
1007,10.0
1008,40.0
1009,38.0
1010,33.0
1011,27.0
1012,29.0
1013,22.0
1014,13.0
1015,13.0
1016,10.0
1017,10.0
1018,9.0
1019,10.0
1020,9.0
1021,5.0
1022,5.0
1023,7.0
1024,7.0
1025,8.0
1026,9.0
1027,8.0
1028,6.0
1029,6.0
1030,6.0
1031,6.0
1032,6.0
1033,11.0
1034,15.0
1035,3.0
1036,4.0
1037,2.0
1038,5.0
1039,3.0
1040,8.0
1041,0.0
1042,2.0
1043,6.0
1044,5.0
1045,6.0
1046,4.0
1047,5.0
1048,8.0
1049,7.0
1050,14.0
1051,17.0
1052,34.0
1053,26.0
1054,29.0
1055,29.0
1056,22.0
1057,11.0
1058,10.0
1059,7.0
1060,9.0
1061,8.0
1062,5.0
1063,6.0
1064,4.0
1065,5.0
1066,7.0
1067,7.0
1068,8.0
1069,8.0
1070,7.0
1071,6.0
1072,6.0
1073,7.0
1074,6.0
1075,6.0
1076,8.0
1077,9.0
1078,1.0
1079,3.0
1080,19.0
1081,3.0
1082,1.0
1083,3.0
1084,2.0
1085,7.0
1086,4.0
1087,1.0
1088,0.0
1089,3.0
1090,5.0
1091,6.0
1092,6.0
1093,12.0
1094,13.0
1095,28.0
1096,28.0
1097,25.0
1098,27.0
1099,17.0
1100,11.0
1101,10.0
1102,7.0
1103,8.0
1104,7.0
1105,5.0
1106,5.0
1107,4.0
1108,4.0
1109,5.0
1110,7.0
1111,7.0
1112,5.0
1113,9.0
1114,8.0
1115,9.0
1116,9.0
1117,6.0
1118,5.0
1119,6.0
1120,8.0
1121,1.0
1122,9.0
1123,0.0
1124,15.0
1125,2.0
1126,3.0
1127,4.0
1128,2.0
1129,13.0
1130,18.0
1131,14.0
1132,17.0
1133,21.0
1134,31.0
1135,4.0
1136,6.0
1137,30.0
1138,31.0
1139,30.0
1140,27.0
1141,22.0
1142,15.0
1143,13.0
1144,11.0
1145,7.0
1146,8.0
1147,7.0
1148,7.0
1149,2.0
1150,3.0
1151,3.0
1152,3.0
1153,6.0
1154,5.0
1155,7.0
1156,7.0
1157,9.0
1158,9.0
1159,8.0
1160,7.0
1161,3.0
1162,5.0
1163,0.0
1164,1.0
1165,0.0
1166,9.0
1167,11.0
1168,1.0
1169,12.0
1170,2.0
1171,1.0
1172,16.0
1173,14.0
1174,13.0
1175,17.0
1176,20.0
1177,25.0
1178,4.0
1179,4.0
1180,5.0
1181,31.0
1182,28.0
1183,23.0
1184,20.0
1185,13.0
1186,13.0
1187,11.0
1188,7.0
1189,8.0
1190,7.0
1191,5.0
1192,4.0
1193,2.0
1194,3.0
1195,1.0
1196,1.0
1197,4.0
1198,8.0
1199,8.0
1200,8.0
1201,6.0
1202,6.0
1203,6.0
1204,1.0
1205,2.0
1206,4.0
1207,4.0
1208,4.0
1209,5.0
1210,8.0
1211,7.0
1212,10.0
1213,12.0
1214,12.0
1215,13.0
1216,11.0
1217,12.0
1218,15.0
1219,18.0
1220,20.0
1221,27.0
1222,28.0
1223,5.0
1224,28.0
1225,25.0
1226,22.0
1227,14.0
1228,13.0
1229,11.0
1230,8.0
1231,5.0
1232,5.0
1233,5.0
1234,4.0
1235,4.0
1236,4.0
1237,2.0
1238,2.0
1239,3.0
1240,5.0
1241,5.0
1242,6.0
1243,6.0
1244,5.0
1245,6.0
1246,7.0
1247,2.0
1248,2.0
1249,3.0
1250,0.0
1251,4.0
1252,4.0
1253,8.0
1254,8.0
1255,8.0
1256,8.0
1257,9.0
1258,11.0
1259,9.0
1260,12.0
1261,13.0
1262,14.0
1263,15.0
1264,15.0
1265,14.0
1266,15.0
1267,15.0
1268,17.0
1269,14.0
1270,14.0
1271,11.0
1272,11.0
1273,8.0
1274,6.0
1275,6.0
1276,6.0
1277,4.0
1278,4.0
1279,4.0
1280,4.0
1281,2.0
1282,3.0
1283,5.0
1284,5.0
1285,4.0
1286,12.0
1287,12.0
1288,8.0
1289,7.0
1290,2.0
1291,3.0
1292,2.0
1293,2.0
1294,5.0
1295,7.0
1296,7.0
1297,8.0
1298,8.0
1299,9.0
1300,9.0
1301,10.0
1302,8.0
1303,11.0
1304,14.0
1305,13.0
1306,15.0
1307,16.0
1308,15.0
1309,14.0
1310,4.0
1311,13.0
1312,12.0
1313,11.0
1314,10.0
1315,10.0
1316,9.0
1317,6.0
1318,6.0
1319,6.0
1320,5.0
1321,4.0
1322,4.0
1323,4.0
1324,4.0
1325,5.0
1326,5.0
1327,5.0
1328,11.0
1329,11.0
1330,7.0
1331,7.0
1332,7.0
1333,3.0
1334,3.0
1335,3.0
1336,2.0
1337,4.0
1338,6.0
1339,6.0
1340,6.0
1341,8.0
1342,10.0
1343,11.0
1344,10.0
1345,10.0
