Grid_Number,Health
0,8.0
1,9.0
2,10.0
3,7.0
4,6.0
5,10.0
6,10.0
7,9.0
8,8.0
9,7.0
10,9.0
11,7.0
12,17.0
13,34.0
14,43.0
15,53.0
16,51.0
17,48.0
18,43.0
19,44.0
20,42.0
21,23.0
22,20.0
23,17.0
24,7.0
25,7.0
26,5.0
27,3.0
28,2.0
29,2.0
30,2.0
31,2.0
32,1.0
33,1.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,9.0
44,9.0
45,10.0
46,7.0
47,7.0
48,6.0
49,11.0
50,10.0
51,9.0
52,9.0
53,11.0
54,12.0
55,31.0
56,36.0
57,44.0
58,57.0
59,58.0
60,57.0
61,53.0
62,50.0
63,44.0
64,26.0
65,33.0
66,25.0
67,15.0
68,15.0
69,13.0
70,6.0
71,3.0
72,3.0
73,3.0
74,3.0
75,2.0
76,1.0
77,1.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,9.0
87,9.0
88,7.0
89,7.0
90,7.0
91,11.0
92,11.0
93,10.0
94,10.0
95,12.0
96,16.0
97,17.0
98,37.0
99,40.0
100,47.0
101,60.0
102,58.0
103,60.0
104,56.0
105,52.0
106,48.0
107,37.0
108,33.0
109,18.0
110,17.0
111,16.0
112,17.0
113,14.0
114,5.0
115,3.0
116,3.0
117,3.0
118,1.0
119,2.0
120,1.0
121,1.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,8.0
130,9.0
131,6.0
132,7.0
133,12.0
134,11.0
135,10.0
136,10.0
137,11.0
138,16.0
139,18.0
140,22.0
141,37.0
142,53.0
143,59.0
144,64.0
145,67.0
146,66.0
147,62.0
148,59.0
149,65.0
150,43.0
151,32.0
152,20.0
153,19.0
154,22.0
155,21.0
156,19.0
157,7.0
158,3.0
159,3.0
160,3.0
161,3.0
162,2.0
163,2.0
164,1.0
165,1.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,8.0
173,8.0
174,10.0
175,12.0
176,11.0
177,12.0
178,9.0
179,11.0
180,12.0
181,15.0
182,24.0
183,26.0
184,34.0
185,58.0
186,61.0
187,63.0
188,70.0
189,69.0
190,65.0
191,59.0
192,65.0
193,46.0
194,25.0
195,20.0
196,22.0
197,23.0
198,23.0
199,21.0
200,13.0
201,7.0
202,4.0
203,4.0
204,3.0
205,3.0
206,2.0
207,2.0
208,1.0
209,1.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,9.0
216,10.0
217,10.0
218,12.0
219,12.0
220,11.0
221,11.0
222,11.0
223,14.0
224,19.0
225,26.0
226,31.0
227,40.0
228,58.0
229,71.0
230,75.0
231,79.0
232,71.0
233,69.0
234,54.0
235,45.0
236,34.0
237,23.0
238,22.0
239,22.0
240,23.0
241,23.0
242,24.0
243,21.0
244,8.0
245,5.0
246,4.0
247,4.0
248,4.0
249,2.0
250,2.0
251,2.0
252,1.0
253,1.0
254,0.0
255,0.0
256,0.0
257,0.0
258,9.0
259,10.0
260,10.0
261,10.0
262,12.0
263,13.0
264,9.0
265,11.0
266,15.0
267,21.0
268,26.0
269,43.0
270,47.0
271,54.0
272,65.0
273,82.0
274,87.0
275,78.0
276,56.0
277,40.0
278,45.0
279,32.0
280,27.0
281,23.0
282,22.0
283,23.0
284,25.0
285,25.0
286,22.0
287,9.0
288,9.0
289,5.0
290,4.0
291,4.0
292,2.0
293,2.0
294,2.0
295,2.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,5.0
302,5.0
303,8.0
304,13.0
305,13.0
306,14.0
307,17.0
308,22.0
309,23.0
310,30.0
311,34.0
312,44.0
313,50.0
314,58.0
315,73.0
316,82.0
317,82.0
318,70.0
319,58.0
320,44.0
321,45.0
322,38.0
323,27.0
324,23.0
325,22.0
326,24.0
327,25.0
328,25.0
329,12.0
330,10.0
331,10.0
332,7.0
333,5.0
334,4.0
335,3.0
336,2.0
337,2.0
338,1.0
339,1.0
340,0.0
341,0.0
342,0.0
343,0.0
344,5.0
345,5.0
346,10.0
347,11.0
348,11.0
349,14.0
350,22.0
351,35.0
352,42.0
353,45.0
354,62.0
355,62.0
356,59.0
357,70.0
358,88.0
359,95.0
360,102.0
361,94.0
362,77.0
363,50.0
364,46.0
365,43.0
366,27.0
367,24.0
368,23.0
369,23.0
370,25.0
371,25.0
372,10.0
373,10.0
374,10.0
375,3.0
376,5.0
377,4.0
378,3.0
379,2.0
380,1.0
381,1.0
382,1.0
383,1.0
384,0.0
385,0.0
386,0.0
387,4.0
388,5.0
389,9.0
390,13.0
391,19.0
392,33.0
393,45.0
394,44.0
395,59.0
396,81.0
397,88.0
398,96.0
399,93.0
400,123.0
401,23.0
402,169.0
403,178.0
404,141.0
405,99.0
406,73.0
407,60.0
408,59.0
409,37.0
410,25.0
411,24.0
412,24.0
413,22.0
414,14.0
415,10.0
416,10.0
417,10.0
418,3.0
419,4.0
420,4.0
421,4.0
422,2.0
423,2.0
424,1.0
425,1.0
426,0.0
427,0.0
428,0.0
429,0.0
430,4.0
431,10.0
432,12.0
433,25.0
434,35.0
435,47.0
436,51.0
437,58.0
438,82.0
439,91.0
440,94.0
441,103.0
442,152.0
443,177.0
444,182.0
445,23.0
446,28.0
447,218.0
448,182.0
449,95.0
450,74.0
451,65.0
452,47.0
453,21.0
454,23.0
455,17.0
456,13.0
457,10.0
458,10.0
459,10.0
460,9.0
461,6.0
462,5.0
463,4.0
464,3.0
465,2.0
466,2.0
467,2.0
468,1.0
469,1.0
470,0.0
471,0.0
472,0.0
473,12.0
474,16.0
475,28.0
476,34.0
477,45.0
478,49.0
479,55.0
480,82.0
481,84.0
482,82.0
483,93.0
484,129.0
485,172.0
486,187.0
487,235.0
488,285.0
489,39.0
490,297.0
491,266.0
492,190.0
493,111.0
494,68.0
495,44.0
496,18.0
497,18.0
498,16.0
499,11.0
500,10.0
501,9.0
502,9.0
503,6.0
504,6.0
505,5.0
506,4.0
507,3.0
508,2.0
509,2.0
510,2.0
511,2.0
512,1.0
513,1.0
514,0.0
515,0.0
516,13.0
517,24.0
518,36.0
519,43.0
520,50.0
521,57.0
522,62.0
523,84.0
524,88.0
525,92.0
526,86.0
527,160.0
528,184.0
529,220.0
530,309.0
531,319.0
532,317.0
533,45.0
534,313.0
535,277.0
536,151.0
537,77.0
538,45.0
539,33.0
540,13.0
541,15.0
542,12.0
543,11.0
544,10.0
545,7.0
546,6.0
547,5.0
548,4.0
549,3.0
550,5.0
551,4.0
552,1.0
553,2.0
554,2.0
555,2.0
556,0.0
557,0.0
558,0.0
559,17.0
560,27.0
561,36.0
562,45.0
563,54.0
564,56.0
565,70.0
566,91.0
567,90.0
568,94.0
569,89.0
570,153.0
571,189.0
572,268.0
573,80.0
574,101.0
575,116.0
576,112.0
577,59.0
578,331.0
579,232.0
580,118.0
581,44.0
582,33.0
583,20.0
584,13.0
585,11.0
586,8.0
587,8.0
588,8.0
589,7.0
590,5.0
591,4.0
592,5.0
593,5.0
594,1.0
595,1.0
596,1.0
597,1.0
598,1.0
599,1.0
600,0.0
601,0.0
602,16.0
603,28.0
604,38.0
605,44.0
606,47.0
607,61.0
608,72.0
609,93.0
610,93.0
611,93.0
612,87.0
613,149.0
614,204.0
615,281.0
616,77.0
617,119.0
618,198.0
619,153.0
620,91.0
621,381.0
622,301.0
623,147.0
624,48.0
625,29.0
626,21.0
627,17.0
628,14.0
629,9.0
630,8.0
631,6.0
632,6.0
633,4.0
634,6.0
635,5.0
636,2.0
637,1.0
638,1.0
639,1.0
640,0.0
641,1.0
642,1.0
643,1.0
644,0.0
645,21.0
646,30.0
647,36.0
648,43.0
649,55.0
650,65.0
651,68.0
652,93.0
653,92.0
654,93.0
655,86.0
656,135.0
657,4.0
658,4.0
659,41.0
660,134.0
661,184.0
662,403.0
663,126.0
664,367.0
665,300.0
666,223.0
667,62.0
668,25.0
669,22.0
670,16.0
671,13.0
672,7.0
673,8.0
674,5.0
675,5.0
676,7.0
677,6.0
678,2.0
679,1.0
680,1.0
681,1.0
682,0.0
683,0.0
684,0.0
685,1.0
686,1.0
687,1.0
688,22.0
689,28.0
690,39.0
691,46.0
692,53.0
693,61.0
694,72.0
695,80.0
696,88.0
697,87.0
698,76.0
