Grid_Number,Utilities
0,2.0
1,4.0
2,4.0
3,4.0
4,4.0
5,4.0
6,4.0
7,4.0
8,3.0
9,4.0
10,5.0
11,5.0
12,6.0
13,10.0
14,11.0
15,11.0
16,9.0
17,13.0
18,12.0
19,12.0
20,9.0
21,9.0
22,9.0
23,6.0
24,5.0
25,4.0
26,2.0
27,1.0
28,1.0
29,1.0
30,1.0
31,0.0
32,0.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,3.0
44,4.0
45,4.0
46,4.0
47,4.0
48,4.0
49,6.0
50,5.0
51,6.0
52,5.0
53,6.0
54,7.0
55,9.0
56,12.0
57,15.0
58,12.0
59,13.0
60,14.0
61,15.0
62,13.0
63,12.0
64,9.0
65,11.0
66,8.0
67,7.0
68,6.0
69,4.0
70,2.0
71,1.0
72,1.0
73,0.0
74,0.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,0.0
83,0.0
84,0.0
85,0.0
86,4.0
87,0.0
88,5.0
89,4.0
90,4.0
91,6.0
92,6.0
93,5.0
94,7.0
95,7.0
96,9.0
97,10.0
98,14.0
99,13.0
100,17.0
101,17.0
102,15.0
103,16.0
104,15.0
105,15.0
106,13.0
107,12.0
108,11.0
109,8.0
110,8.0
111,6.0
112,4.0
113,3.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,0.0
121,0.0
122,1.0
123,1.0
124,1.0
125,1.0
126,0.0
127,0.0
128,0.0
129,4.0
130,4.0
131,5.0
132,5.0
133,7.0
134,6.0
135,6.0
136,6.0
137,8.0
138,8.0
139,11.0
140,12.0
141,17.0
142,18.0
143,20.0
144,19.0
145,18.0
146,20.0
147,18.0
148,15.0
149,14.0
150,11.0
151,9.0
152,8.0
153,8.0
154,5.0
155,3.0
156,3.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,1.0
168,1.0
169,1.0
170,0.0
171,0.0
172,4.0
173,4.0
174,5.0
175,6.0
176,7.0
177,6.0
178,6.0
179,7.0
180,7.0
181,9.0
182,12.0
183,14.0
184,15.0
185,18.0
186,19.0
187,19.0
188,20.0
189,19.0
190,18.0
191,16.0
192,15.0
193,12.0
194,8.0
195,8.0
196,7.0
197,4.0
198,3.0
199,3.0
200,3.0
201,1.0
202,1.0
203,1.0
204,2.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,1.0
212,1.0
213,1.0
214,0.0
215,3.0
216,4.0
217,5.0
218,5.0
219,6.0
220,7.0
221,6.0
222,6.0
223,5.0
224,7.0
225,12.0
226,15.0
227,17.0
228,23.0
229,24.0
230,23.0
231,24.0
232,20.0
233,18.0
234,15.0
235,13.0
236,9.0
237,8.0
238,7.0
239,5.0
240,5.0
241,5.0
242,5.0
243,4.0
244,2.0
245,1.0
246,2.0
247,2.0
248,2.0
249,0.0
250,0.0
251,2.0
252,0.0
253,0.0
254,0.0
255,1.0
256,1.0
257,1.0
258,3.0
259,5.0
260,5.0
261,5.0
262,6.0
263,6.0
264,3.0
265,6.0
266,6.0
267,7.0
268,9.0
269,17.0
270,21.0
271,21.0
272,23.0
273,24.0
274,24.0
275,22.0
276,15.0
277,11.0
278,10.0
279,8.0
280,7.0
281,6.0
282,6.0
283,5.0
284,5.0
285,5.0
286,5.0
287,3.0
288,2.0
289,2.0
290,2.0
291,2.0
292,0.0
293,2.0
294,2.0
295,2.0
296,0.0
297,0.0
298,1.0
299,1.0
300,1.0
301,2.0
302,2.0
303,4.0
304,6.0
305,6.0
306,8.0
307,6.0
308,8.0
309,11.0
310,12.0
311,11.0
312,17.0
313,21.0
314,21.0
315,24.0
316,23.0
317,22.0
318,19.0
319,13.0
320,9.0
321,10.0
322,9.0
323,5.0
324,5.0
325,5.0
326,5.0
327,5.0
328,5.0
329,4.0
330,3.0
331,2.0
332,3.0
333,2.0
334,2.0
335,2.0
336,2.0
337,2.0
338,2.0
339,2.0
340,0.0
341,1.0
342,1.0
343,1.0
344,2.0
