Grid_Number,Education
0,3.0
1,4.0
2,4.0
3,3.0
4,3.0
5,3.0
6,3.0
7,3.0
8,5.0
9,4.0
10,3.0
11,3.0
12,3.0
13,8.0
14,8.0
15,8.0
16,7.0
17,10.0
18,10.0
19,10.0
20,15.0
21,13.0
22,14.0
23,17.0
24,17.0
25,20.0
26,18.0
27,18.0
28,19.0
29,14.0
30,13.0
31,24.0
32,35.0
33,33.0
34,46.0
35,51.0
36,53.0
37,49.0
38,47.0
39,45.0
40,48.0
41,42.0
42,41.0
43,47.0
44,42.0
45,66.0
46,66.0
47,61.0
48,61.0
49,58.0
50,52.0
51,48.0
52,44.0
53,46.0
54,33.0
55,33.0
56,33.0
57,34.0
58,35.0
59,36.0
60,31.0
61,26.0
62,19.0
63,16.0
64,13.0
65,17.0
66,19.0
67,25.0
68,31.0
69,38.0
70,37.0
71,38.0
72,35.0
73,41.0
74,36.0
75,38.0
76,40.0
77,43.0
78,41.0
79,43.0
80,44.0
81,46.0
82,44.0
83,38.0
84,32.0
85,24.0
86,24.0
87,28.0
88,27.0
89,33.0
90,42.0
91,40.0
92,35.0
93,29.0
94,27.0
95,3.0
96,4.0
97,4.0
98,4.0
99,3.0
100,3.0
101,4.0
102,3.0
103,4.0
104,5.0
105,4.0
106,4.0
107,6.0
108,10.0
109,10.0
110,9.0
111,7.0
112,10.0
113,10.0
114,10.0
115,15.0
116,19.0
117,14.0
118,17.0
119,17.0
120,18.0
121,18.0
122,20.0
123,16.0
124,15.0
125,19.0
126,36.0
127,36.0
128,42.0
129,47.0
130,52.0
131,54.0
132,62.0
133,57.0
134,52.0
135,56.0
136,57.0
137,48.0
138,61.0
139,54.0
140,76.0
141,78.0
142,69.0
143,68.0
144,64.0
145,57.0
146,62.0
147,46.0
148,47.0
149,34.0
150,38.0
151,33.0
152,36.0
153,40.0
154,43.0
155,38.0
156,35.0
157,26.0
158,21.0
159,16.0
160,21.0
161,32.0
162,34.0
163,40.0
164,44.0
165,44.0
166,47.0
167,59.0
168,47.0
169,46.0
170,51.0
171,54.0
172,60.0
173,53.0
174,56.0
175,53.0
176,51.0
177,51.0
178,48.0
179,45.0
180,34.0
181,36.0
182,38.0
183,41.0
184,49.0
185,48.0
186,47.0
187,43.0
188,39.0
189,33.0
190,4.0
191,6.0
192,4.0
193,5.0
194,6.0
195,5.0
196,4.0
197,4.0
198,6.0
199,5.0
200,5.0
201,6.0
202,6.0
203,7.0
204,10.0
205,10.0
206,10.0
207,10.0
208,10.0
209,10.0
210,13.0
211,19.0
212,14.0
213,17.0
214,19.0
215,19.0
216,19.0
217,20.0
218,17.0
219,14.0
220,22.0
221,38.0
222,41.0
223,48.0
224,51.0
225,52.0
226,54.0
227,63.0
228,63.0
229,58.0
230,57.0
231,64.0
232,57.0
233,62.0
234,67.0
235,77.0
236,78.0
237,75.0
238,71.0
239,68.0
240,62.0
241,64.0
242,53.0
243,47.0
244,38.0
245,42.0
246,44.0
247,43.0
248,45.0
249,44.0
250,39.0
251,44.0
252,34.0
253,31.0
254,28.0
255,27.0
256,36.0
257,39.0
258,49.0
259,56.0
260,58.0
261,68.0
262,67.0
263,59.0
264,56.0
265,56.0
266,64.0
267,69.0
268,67.0
269,64.0
270,63.0
271,60.0
272,59.0
273,62.0
274,60.0
275,61.0
276,53.0
277,60.0
278,51.0
279,56.0
280,58.0
281,57.0
282,50.0
283,46.0
284,40.0
285,7.0
286,10.0
287,12.0
288,12.0
289,6.0
290,6.0
291,6.0
292,6.0
293,7.0
294,6.0
295,6.0
296,6.0
297,8.0
298,6.0
299,11.0
300,10.0
301,10.0
302,9.0
303,10.0
304,10.0
305,10.0
306,12.0
307,14.0
308,16.0
309,17.0
310,19.0
311,19.0
312,20.0
313,14.0
314,14.0
315,33.0
316,39.0
317,40.0
318,48.0
319,51.0
320,55.0
321,56.0
322,58.0
323,74.0
324,60.0
325,55.0
326,65.0
327,62.0
328,64.0
329,68.0
330,72.0
331,72.0
332,74.0
333,74.0
334,70.0
335,66.0
336,61.0
337,60.0
338,42.0
339,46.0
340,47.0
341,50.0
342,50.0
343,62.0
344,56.0
345,58.0
346,53.0
347,43.0
348,30.0
349,33.0
350,41.0
351,53.0
352,53.0
353,61.0
354,66.0
355,71.0
356,69.0
357,77.0
358,78.0
359,68.0
360,66.0
361,79.0
362,81.0
363,87.0
364,72.0
365,75.0
366,73.0
367,75.0
368,86.0
369,87.0
370,90.0
371,82.0
372,86.0
373,77.0
374,66.0
375,70.0
376,68.0
377,57.0
378,49.0
379,41.0
380,8.0
381,11.0
382,13.0
383,13.0
384,12.0
385,8.0
386,7.0
387,7.0
388,7.0
389,6.0
390,9.0
391,10.0
392,10.0
393,10.0
394,10.0
395,14.0
396,9.0
397,9.0
398,7.0
399,10.0
400,5.0
401,8.0
402,12.0
403,12.0
404,14.0
405,19.0
406,19.0
407,12.0
408,13.0
409,13.0
410,32.0
411,40.0
412,40.0
413,46.0
414,52.0
415,55.0
416,56.0
417,61.0
418,68.0
419,55.0
420,58.0
421,64.0
422,59.0
423,60.0
424,74.0
425,72.0
426,56.0
427,73.0
428,74.0
429,69.0
430,66.0
431,58.0
432,54.0
433,40.0
434,42.0
435,55.0
436,53.0
437,63.0
438,61.0
439,77.0
440,67.0
441,56.0
442,52.0
443,51.0
444,42.0
445,62.0
446,70.0
447,65.0
448,68.0
449,69.0
450,78.0
451,85.0
452,95.0
453,94.0
454,81.0
455,85.0
456,86.0
457,94.0
458,96.0
459,97.0
460,92.0
461,85.0
462,100.0
463,96.0
464,103.0
465,99.0
466,96.0
467,97.0
468,97.0
469,86.0
470,77.0
471,75.0
472,60.0
473,54.0
474,49.0
475,10.0
476,10.0
477,13.0
478,13.0
479,13.0
480,11.0
481,7.0
482,7.0
483,7.0
484,11.0
485,12.0
486,10.0
487,10.0
488,10.0
489,12.0
490,12.0
491,8.0
492,7.0
493,3.0
494,3.0
495,2.0
496,2.0
497,4.0
498,5.0
499,5.0
500,11.0
501,11.0
502,11.0
503,10.0
504,14.0
505,28.0
506,37.0
507,41.0
508,45.0
509,51.0
510,52.0
511,57.0
512,60.0
513,55.0
514,50.0
515,54.0
516,56.0
