Grid_Number,Government_Facilities
0,1.0
1,1.0
2,1.0
3,1.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,1.0
28,2.0
29,2.0
30,2.0
31,3.0
32,2.0
33,5.0
34,6.0
35,6.0
36,6.0
37,6.0
38,7.0
39,7.0
40,9.0
41,8.0
42,8.0
43,8.0
44,9.0
45,6.0
46,6.0
47,6.0
48,6.0
49,5.0
50,5.0
51,2.0
52,2.0
53,7.0
54,3.0
55,3.0
56,3.0
57,4.0
58,4.0
59,0.0
60,1.0
61,0.0
62,0.0
63,3.0
64,3.0
65,3.0
66,4.0
67,3.0
68,3.0
69,4.0
70,4.0
71,4.0
72,7.0
73,6.0
74,5.0
75,3.0
76,4.0
77,5.0
78,4.0
79,4.0
80,5.0
81,5.0
82,5.0
83,7.0
84,6.0
85,5.0
86,6.0
87,7.0
88,6.0
89,5.0
90,7.0
91,7.0
92,1.0
93,4.0
94,4.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,0.0
101,0.0
102,1.0
103,1.0
104,0.0
105,0.0
106,0.0
107,0.0
108,1.0
109,1.0
110,1.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,1.0
122,2.0
123,2.0
124,2.0
125,2.0
126,5.0
127,5.0
128,6.0
129,6.0
130,6.0
131,6.0
132,8.0
133,3.0
134,7.0
135,8.0
136,9.0
137,8.0
138,10.0
139,11.0
140,0.0
141,9.0
142,7.0
143,7.0
144,5.0
145,5.0
146,5.0
147,7.0
148,6.0
149,3.0
150,3.0
151,3.0
152,4.0
153,0.0
154,1.0
155,1.0
156,1.0
157,3.0
158,3.0
159,3.0
160,4.0
161,3.0
162,3.0
163,3.0
164,4.0
165,4.0
166,8.0
167,8.0
168,6.0
169,6.0
170,5.0
171,5.0
172,5.0
173,4.0
174,4.0
175,5.0
176,7.0
177,8.0
178,9.0
179,11.0
180,13.0
181,12.0
182,7.0
183,6.0
184,8.0
185,7.0
186,8.0
187,6.0
188,0.0
189,4.0
190,1.0
191,0.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,1.0
205,1.0
206,1.0
