Grid_Number,Health
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,2.0
27,2.0
28,2.0
29,2.0
30,2.0
31,4.0
32,3.0
33,3.0
34,5.0
35,5.0
36,5.0
37,6.0
38,6.0
39,5.0
40,6.0
41,5.0
42,6.0
43,5.0
44,6.0
45,12.0
46,11.0
47,12.0
48,13.0
49,13.0
50,13.0
51,11.0
52,10.0
53,8.0
54,3.0
55,3.0
56,3.0
57,2.0
58,3.0
59,1.0
60,2.0
61,2.0
62,2.0
63,3.0
64,5.0
65,5.0
66,5.0
67,5.0
68,5.0
69,6.0
70,7.0
71,6.0
72,4.0
73,4.0
74,4.0
75,3.0
76,2.0
77,3.0
78,2.0
79,2.0
80,1.0
81,2.0
82,2.0
83,2.0
84,2.0
85,2.0
86,3.0
87,4.0
88,4.0
89,5.0
90,3.0
91,0.0
92,0.0
93,4.0
94,4.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,1.0
102,1.0
103,1.0
104,2.0
105,2.0
106,2.0
107,2.0
108,2.0
109,2.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,2.0
121,2.0
122,2.0
123,3.0
124,2.0
125,3.0
126,3.0
127,3.0
128,4.0
129,5.0
130,5.0
131,7.0
132,7.0
133,7.0
134,6.0
135,6.0
136,6.0
137,7.0
138,7.0
139,7.0
140,13.0
141,14.0
142,13.0
143,14.0
144,14.0
145,14.0
146,12.0
147,10.0
148,7.0
149,3.0
150,3.0
151,3.0
152,2.0
153,1.0
154,3.0
155,3.0
156,2.0
157,2.0
158,4.0
159,5.0
160,5.0
161,6.0
162,7.0
163,5.0
164,6.0
165,7.0
166,6.0
167,5.0
168,4.0
169,4.0
170,4.0
171,3.0
172,3.0
173,2.0
174,2.0
175,2.0
176,2.0
177,2.0
178,2.0
179,2.0
180,3.0
181,4.0
182,5.0
183,6.0
184,8.0
185,8.0
186,3.0
187,0.0
188,0.0
189,4.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,1.0
196,1.0
197,1.0
198,2.0
199,2.0
200,2.0
201,0.0
202,0.0
203,0.0
204,0.0
205,2.0
206,2.0
207,1.0
208,2.0
209,1.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,2.0
217,3.0
218,3.0
219,2.0
220,4.0
221,3.0
222,3.0
223,4.0
224,5.0
225,7.0
226,7.0
227,7.0
228,0.0
229,6.0
230,6.0
231,6.0
232,6.0
233,7.0
234,8.0
235,12.0
236,14.0
237,14.0
238,15.0
239,11.0
240,11.0
241,14.0
242,13.0
243,6.0
244,4.0
245,4.0
246,4.0
247,3.0
248,2.0
249,3.0
250,3.0
251,4.0
252,4.0
253,5.0
254,6.0
255,8.0
256,13.0
257,12.0
258,13.0
259,7.0
260,8.0
261,7.0
262,6.0
263,4.0
264,4.0
265,4.0
266,4.0
267,3.0
268,2.0
269,2.0
270,2.0
271,2.0
272,2.0
273,4.0
274,7.0
275,7.0
276,7.0
277,7.0
278,6.0
279,9.0
280,8.0
281,8.0
282,3.0
283,0.0
284,4.0
285,0.0
286,0.0
287,1.0
288,0.0
289,1.0
290,1.0
291,1.0
292,3.0
293,2.0
294,2.0
295,0.0
296,0.0
297,0.0
298,0.0
299,3.0
300,2.0
301,2.0
302,3.0
303,2.0
304,2.0
305,1.0
306,0.0
307,0.0
308,0.0
309,0.0
310,2.0
311,3.0
312,3.0
313,3.0
314,2.0
315,2.0
316,3.0
317,3.0
318,4.0
319,2.0
320,7.0
321,7.0
322,5.0
323,0.0
324,6.0
325,6.0
326,7.0
327,6.0
328,7.0
329,8.0
330,10.0
331,14.0
332,16.0
333,17.0
334,11.0
335,14.0
336,14.0
337,12.0
338,8.0
339,5.0
340,4.0
341,4.0
342,3.0
343,3.0
344,3.0
345,4.0
346,4.0
347,4.0
348,5.0
349,10.0
350,14.0
351,13.0
352,12.0
353,13.0
354,13.0
355,12.0
356,8.0
357,6.0
358,6.0
359,5.0
360,5.0
361,4.0
362,3.0
363,4.0
364,2.0
365,2.0
366,6.0
367,7.0
368,11.0
369,14.0
370,19.0
371,20.0
372,16.0
373,14.0
374,12.0
375,9.0
376,8.0
377,8.0
378,3.0
379,4.0
380,0.0
381,1.0
382,1.0
383,1.0
384,1.0
385,1.0
386,2.0
387,3.0
388,3.0
389,2.0
390,3.0
391,0.0
392,0.0
393,3.0
394,3.0
395,3.0
396,3.0
397,3.0
398,2.0
399,2.0
400,2.0
401,2.0
402,0.0
403,0.0
404,0.0
405,1.0
406,3.0
407,3.0
408,3.0
409,2.0
410,2.0
411,3.0
412,3.0
413,6.0
414,2.0
415,2.0
416,7.0
417,5.0
418,6.0
419,6.0
420,6.0
421,7.0
422,5.0
423,5.0
424,7.0
425,9.0
426,11.0
427,16.0
428,16.0
429,14.0
430,14.0
431,13.0
432,10.0
433,9.0
434,7.0
435,5.0
436,4.0
437,3.0
438,3.0
439,4.0
440,4.0
441,4.0
442,4.0
443,6.0
444,12.0
445,14.0
446,14.0
447,13.0
448,13.0
449,13.0
450,15.0
451,10.0
452,9.0
453,8.0
454,5.0
455,5.0
456,9.0
457,7.0
458,6.0
459,6.0
460,10.0
461,7.0
462,11.0
463,15.0
464,18.0
465,19.0
466,19.0
467,20.0
468,17.0
469,17.0
470,12.0
471,8.0
472,8.0
473,8.0
474,7.0
475,1.0
476,1.0
477,1.0
478,1.0
479,1.0
480,2.0
481,2.0
482,3.0
483,3.0
484,4.0
485,3.0
486,3.0
487,4.0
488,3.0
489,3.0
490,4.0
491,3.0
492,3.0
493,2.0
494,2.0
495,2.0
496,2.0
497,2.0
498,0.0
499,0.0
500,0.0
501,1.0
502,3.0
503,2.0
504,2.0
505,1.0
506,2.0
507,5.0
508,6.0
509,6.0
510,2.0
511,2.0
512,5.0
513,4.0
514,6.0
515,6.0
516,6.0
517,5.0
518,5.0
519,6.0
520,6.0
521,7.0
522,8.0
523,10.0
524,11.0
525,9.0
526,11.0
527,14.0
528,13.0
529,10.0
530,9.0
531,4.0
532,3.0
533,3.0
534,4.0
535,4.0
536,3.0
537,4.0
538,9.0
539,11.0
540,14.0
541,12.0
542,12.0
543,13.0
544,14.0
545,19.0
546,19.0
547,14.0
548,13.0
549,10.0
550,13.0
551,9.0
552,8.0
553,6.0
554,6.0
555,11.0
556,12.0
557,13.0
558,19.0
559,19.0
560,19.0
561,19.0
562,20.0
563,17.0
564,17.0
565,14.0
566,9.0
567,8.0
568,7.0
569,7.0
570,1.0
