Grid_Number,Utilities
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,1.0
7,1.0
8,1.0
9,0.0
10,0.0
11,1.0
12,1.0
13,1.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,2.0
31,2.0
32,0.0
33,0.0
34,3.0
35,3.0
36,3.0
37,2.0
38,3.0
39,2.0
40,2.0
41,2.0
42,3.0
43,3.0
44,3.0
45,6.0
46,6.0
47,6.0
48,6.0
49,6.0
50,5.0
51,5.0
52,5.0
53,5.0
54,1.0
55,1.0
56,1.0
57,1.0
58,2.0
59,2.0
60,2.0
61,3.0
62,3.0
63,4.0
64,4.0
65,4.0
66,4.0
67,3.0
68,3.0
69,4.0
70,5.0
71,3.0
72,3.0
73,3.0
74,3.0
75,3.0
76,0.0
77,2.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,4.0
84,4.0
85,3.0
86,3.0
87,4.0
88,0.0
89,0.0
90,0.0
91,0.0
92,2.0
93,2.0
94,2.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,1.0
122,1.0
123,1.0
124,1.0
125,2.0
126,0.0
127,0.0
128,3.0
129,3.0
130,3.0
131,3.0
132,3.0
133,3.0
134,2.0
135,2.0
136,2.0
137,3.0
138,3.0
139,3.0
140,6.0
141,0.0
142,6.0
143,6.0
144,6.0
145,6.0
146,5.0
147,5.0
148,5.0
149,1.0
150,1.0
151,1.0
152,1.0
153,2.0
154,3.0
155,3.0
156,3.0
157,3.0
158,5.0
159,5.0
160,4.0
161,4.0
162,3.0
163,3.0
164,4.0
165,5.0
166,3.0
167,3.0
168,3.0
169,3.0
170,3.0
171,3.0
172,2.0
173,1.0
174,1.0
175,1.0
176,2.0
177,3.0
178,4.0
179,4.0
180,4.0
181,4.0
182,4.0
183,4.0
184,0.0
185,0.0
186,0.0
187,2.0
188,2.0
189,2.0
190,0.0
191,0.0
192,0.0
193,0.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,1.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,1.0
218,1.0
219,1.0
220,1.0
221,0.0
222,0.0
223,0.0
224,3.0
225,3.0
226,3.0
227,3.0
228,4.0
229,2.0
230,2.0
231,2.0
232,3.0
233,3.0
234,3.0
235,3.0
236,0.0
237,6.0
238,6.0
239,6.0
240,6.0
241,5.0
242,5.0
243,5.0
244,1.0
245,1.0
246,1.0
247,1.0
248,2.0
249,3.0
250,3.0
251,3.0
252,3.0
253,5.0
254,5.0
255,5.0
256,4.0
257,3.0
258,3.0
259,5.0
260,5.0
261,5.0
262,3.0
263,3.0
264,3.0
265,3.0
266,3.0
267,3.0
268,1.0
269,1.0
270,2.0
271,3.0
272,3.0
273,4.0
274,3.0
275,3.0
276,4.0
277,3.0
278,4.0
279,4.0
280,0.0
281,0.0
282,2.0
283,2.0
284,2.0
285,0.0
286,0.0
287,1.0
288,1.0
289,1.0
290,1.0
291,1.0
292,2.0
293,2.0
294,1.0
295,1.0
296,2.0
297,0.0
298,0.0
299,1.0
300,1.0
301,1.0
302,0.0
303,0.0
304,0.0
305,1.0
306,1.0
307,1.0
308,0.0
309,0.0
310,0.0
311,1.0
312,1.0
313,1.0
314,1.0
315,2.0
316,0.0
317,0.0
318,0.0
319,0.0
320,3.0
321,3.0
322,3.0
323,3.0
324,2.0
325,2.0
326,2.0
327,3.0
328,3.0
329,3.0
330,3.0
331,6.0
332,6.0
333,6.0
334,6.0
335,6.0
336,5.0
337,5.0
338,3.0
339,1.0
340,1.0
341,1.0
342,2.0
343,3.0
344,4.0
345,4.0
346,4.0
347,3.0
348,5.0
349,5.0
350,5.0
351,5.0
352,3.0
353,3.0
354,5.0
355,5.0
356,6.0
357,4.0
358,4.0
359,4.0
360,4.0
361,3.0
362,2.0
363,1.0
364,1.0
365,3.0
366,3.0
367,3.0
368,7.0
369,7.0
370,7.0
371,0.0
372,0.0
373,3.0
374,4.0
375,4.0
376,0.0
377,2.0
378,2.0
379,2.0
380,0.0
381,1.0
382,1.0
383,1.0
384,1.0
385,2.0
386,2.0
387,2.0
388,2.0
389,0.0
390,2.0
391,2.0
392,2.0
393,0.0
394,0.0
395,1.0
396,1.0
397,1.0
398,0.0
399,1.0
400,1.0
401,1.0
402,1.0
403,1.0
404,0.0
405,1.0
406,1.0
407,1.0
408,1.0
409,1.0
410,2.0
411,2.0
412,0.0
413,0.0
414,0.0
415,0.0
416,3.0
417,2.0
418,3.0
419,2.0
420,2.0
421,2.0
422,3.0
423,3.0
424,3.0
425,3.0
426,2.0
427,5.0
428,6.0
429,6.0
430,6.0
431,5.0
432,3.0
433,1.0
434,1.0
435,1.0
436,2.0
437,2.0
438,3.0
439,5.0
440,5.0
441,5.0
442,4.0
443,5.0
444,5.0
445,5.0
446,5.0
447,3.0
448,3.0
449,4.0
450,6.0
451,5.0
452,4.0
453,4.0
454,4.0
455,4.0
456,5.0
457,3.0
458,2.0
459,4.0
460,3.0
461,3.0
462,6.0
463,6.0
464,7.0
465,7.0
466,7.0
467,0.0
468,7.0
469,3.0
470,4.0
471,3.0
472,2.0
473,2.0
474,0.0
475,1.0
476,1.0
477,1.0
478,1.0
479,2.0
480,2.0
481,2.0
482,2.0
483,2.0
484,3.0
485,4.0
486,2.0
487,2.0
488,2.0
489,0.0
490,1.0
491,1.0
492,1.0
493,1.0
494,1.0
495,1.0
496,1.0
497,1.0
498,1.0
499,1.0
500,0.0
501,1.0
502,1.0
503,1.0
504,1.0
505,2.0
506,2.0
507,2.0
508,2.0
509,2.0
510,2.0
511,2.0
512,2.0
513,2.0
514,2.0
515,2.0
516,2.0
517,3.0
518,0.0
519,0.0
520,2.0
521,2.0
522,2.0
523,2.0
524,4.0
525,4.0
526,3.0
527,3.0
528,2.0
529,2.0
530,3.0
531,3.0
532,3.0
533,4.0
534,4.0
535,5.0
536,5.0
537,6.0
538,7.0
539,6.0
540,6.0
541,4.0
542,3.0
543,3.0
544,4.0
545,5.0
546,5.0
547,5.0
548,5.0
549,5.0
550,6.0
551,5.0
552,4.0
553,3.0
554,4.0
555,4.0
556,6.0
557,6.0
558,6.0
559,7.0
560,7.0
561,7.0
562,0.0
563,7.0
564,4.0
565,4.0
566,3.0
567,3.0
568,0.0
569,0.0
570,1.0
