Voronoi_Sites_Lat,Voronoi_Sites_Lon,Catchment_Polygon_Population,Catchment_Polygon_Area,Voronoi_Sites_Grid_Number
26.306999,89.73745699999999,-1.0,-1.0,463.0
26.2779426,89.7659122,81104.0,63.002839481613684,745.0
26.2114877,89.7822327,-1.0,-1.0,929.0
26.10798999999999,89.83081000000001,12088.0,14.629804354522005,1393.0
26.1386459,89.87040879999999,15533.0,30.73618603917545,1776.0
26.09590000000001,89.8866,57528.0,105.10146868142765,1867.0
26.1904026,89.9018073,14979.0,91.95602476375196,2067.0
26.0771581,89.9555554,30808.0,34.630656421422934,2530.0
26.2500403,89.9531758,4752.0,145.93329855126598,2548.0
26.0229475,89.9777464,110581.0,174.8569201192002,2715.0
26.11904209999999,90.02546749999999,172386.0,213.1921722160469,3199.0
26.29405999999999,90.04693999999999,8566.0,132.26449853062522,3407.0
26.409233,90.05789,-1.0,-1.0,3513.0
26.4015852,90.0858429,-1.0,-1.0,3798.0
26.3344062,90.1096371,56521.0,78.80876560489708,3981.0
26.2044936,90.12051699999999,249495.0,216.60741753096278,4158.0
26.3805118,90.1311868,-1.0,-1.0,4271.0
26.3638177,90.18522279999999,-1.0,-1.0,4744.0
26.404982,90.2734356,-1.0,-1.0,5603.0
26.3189588,90.4692511,-1.0,-1.0,7399.0
26.2304634,90.2331608,87147.0,164.85072933154694,5206.0
26.3089313,89.6971449,-1.0,-1.0,83.0
26.3098099,89.7037438,-1.0,-1.0,178.0
26.3100738,89.71450689999999,3742.0,7.791745183135705,274.0
26.3104362,89.7169931,-1.0,-1.0,274.0
25.4799817,89.81335589999999,-1.0,-1.0,1140.0
26.1062172,89.8256779,-1.0,-1.0,1298.0
26.1351164,89.83559129999999,9285.0,14.964875380485632,1396.0
26.1609945,89.8306815,62535.0,47.04172547121311,1399.0
26.3033262,89.8516348,-1.0,-1.0,1603.0
26.0789113,89.9594436,53424.0,40.90122789426758,2530.0
25.7848506,89.98067739999999,-1.0,-1.0,2786.0
26.021762,89.98699309999999,270053.0,275.2934462799619,2810.0
26.0221134,89.9852425,9420.0,3.9264494839556727,2810.0
25.5078586,90.215435,-1.0,-1.0,4943.0
25.51183169999999,90.21695559999999,-1.0,-1.0,4944.0
26.2298341,90.2311769,30718.0,81.80392861733812,5205.0
26.2312561,90.2312118,54416.0,60.29375334001338,5206.0
26.0336327,90.309861,-1.0,-1.0,5851.0
26.3370569,90.40711639999999,-1.0,-1.0,6831.0
26.2668545,90.440805,-1.0,-1.0,7204.0
26.3337685,90.4404402,-1.0,-1.0,7211.0
