Grid_Number,Grid_Population,Status
0,0,0
1,0,0
2,0,0
3,0,0
4,16046,0
5,4979,0
6,620,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,2509,0
19,0,0
20,0,0
21,0,0
22,0,0
23,258,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,3152,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,611,0
36,1880,0
37,482,0
38,0,0
39,677,0
40,906,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,28,0
53,44,0
54,141,0
55,0,0
56,1364,0
57,1478,0
58,2880,0
59,64,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,80,0
66,0,0
67,0,0
68,0,0
69,0,0
70,156,0
71,4873,0
72,3483,0
73,3448,0
74,876,0
75,0,0
76,0,0
77,0,0
78,0,0
79,432,0
80,5520,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,85,0
88,0,0
89,676,0
90,862,0
91,0,0
92,0,0
93,1428,0
94,3731,0
95,0,0
96,2012,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,1895,0
127,2300,0
128,0,0
129,0,0
130,55,0
131,96,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,657,0
142,0,0
143,1232,0
144,2386,0
145,2110,0
146,0,0
147,0,0
148,0,0
149,4418,0
150,538,0
151,0,0
152,0,0
153,0,0
154,0,0
155,3894,0
156,25397,0
157,6071,0
158,2250,0
159,4350,0
160,1725,0
161,3310,0
162,653,0
163,1909,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,711,0
174,1826,0
175,6966,0
176,3672,0
177,639,0
178,0,0
179,0,0
180,0,0
181,689,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,8880,0
207,280,0
208,5316,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,2108,1
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,2492,1
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,3068,0
241,5029,0
242,0,0
243,0,0
244,0,0
245,1550,0
246,3497,0
247,13728,0
248,2209,0
249,0,0
250,0,0
251,3649,0
252,2586,0
253,0,0
254,0,0
255,0,0
256,0,0
257,359,1
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,82,0
265,676,0
266,7972,0
267,4632,0
268,233,0
269,170,0
270,172,0
271,0,0
272,847,0
273,0,0
274,426,0
275,3752,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,5060,0
283,385,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,0
292,0,0
293,0,0
294,0,0
295,3194,0
296,3392,0
297,28212,0
298,1639,0
299,0,0
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,2023,0
307,453,1
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,2300,1
325,0,0
326,88,0
327,0,0
328,2016,0
329,2198,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,1714,0
338,366,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,55,1
346,824,1
347,421,1
348,1507,1
349,0,0
350,481,1
351,392,0
352,0,0
353,0,0
354,0,0
355,0,0
356,1737,0
357,7081,0
358,1017,0
359,509,0
360,476,0
361,198,0
362,100,0
363,164,0
364,0,0
365,337,0
366,1219,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,2003,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,3415,0
387,2583,0
388,603,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,398,1
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,1651,1
418,396,1
419,235,0
420,44,0
421,0,0
422,0,0
423,0,0
424,4196,0
425,246,0
426,0,0
427,0,0
428,0,0
429,0,0
430,207,1
431,0,0
432,0,0
433,0,0
434,0,0
435,78,1
436,273,1
437,226,1
438,0,0
439,0,0
440,0,0
441,1704,1
442,281,1
443,0,0
444,0,0
445,0,0
446,0,0
447,193,0
448,830,0
449,274,0
450,1266,0
451,1246,0
452,495,0
453,315,0
454,23,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,3530,0
477,29135,0
478,15878,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,165,0
486,0,0
487,0,0
488,689,1
489,0,0
490,0,0
491,0,0
492,0,0
493,302,1
494,1504,1
495,0,0
496,0,0
497,0,0
498,0,0
499,0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,1122,1
506,817,1
507,0,0
508,0,0
509,832,1
510,2033,0
511,0,0
512,0,0
513,0,0
514,0,0
515,0,0
516,0,0
517,0,0
518,0,0
519,0,0
520,0,0
521,746,1
522,0,0
523,0,0
524,0,0
525,0,0
526,84,1
527,406,1
528,10,0
529,2741,1
530,79,1
531,0,0
532,0,0
533,0,0
534,0,0
535,0,0
536,0,0
537,0,0
538,0,0
539,176,0
540,374,0
541,1410,0
542,1381,0
543,435,0
544,546,0
545,182,0
546,0,0
547,0,0
548,0,0
549,0,0
550,0,0
551,0,0
552,0,0
553,0,0
554,0,0
555,0,0
556,0,0
