Grid_Number,Education
0,14.0
1,23.0
2,24.0
3,28.0
4,35.0
5,35.0
6,43.0
7,47.0
8,48.0
9,48.0
10,41.0
11,35.0
12,30.0
13,32.0
14,27.0
15,22.0
16,21.0
17,18.0
18,15.0
19,22.0
20,30.0
21,52.0
22,61.0
23,59.0
24,55.0
25,54.0
26,50.0
27,40.0
28,24.0
29,19.0
30,17.0
31,14.0
32,12.0
33,8.0
34,5.0
35,7.0
36,9.0
37,9.0
38,9.0
39,9.0
40,10.0
41,11.0
42,12.0
43,10.0
44,9.0
45,11.0
46,9.0
47,9.0
48,12.0
49,13.0
50,18.0
51,19.0
52,20.0
53,21.0
54,22.0
55,23.0
56,18.0
57,17.0
58,17.0
59,19.0
60,19.0
61,35.0
62,48.0
63,48.0
64,47.0
65,49.0
66,55.0
67,55.0
68,52.0
69,48.0
70,22.0
71,22.0
72,16.0
73,13.0
74,15.0
75,13.0
76,12.0
77,13.0
78,17.0
79,14.0
80,14.0
81,13.0
82,14.0
83,12.0
84,12.0
85,10.0
86,7.0
87,7.0
88,7.0
89,8.0
90,6.0
91,16.0
92,25.0
93,27.0
94,36.0
95,38.0
96,43.0
97,45.0
98,55.0
99,56.0
100,55.0
101,49.0
102,50.0
103,43.0
104,40.0
105,33.0
106,27.0
107,22.0
108,19.0
109,21.0
110,36.0
111,80.0
112,101.0
113,102.0
114,107.0
115,88.0
116,74.0
117,60.0
118,48.0
119,33.0
120,23.0
121,23.0
122,20.0
123,16.0
124,11.0
125,10.0
126,10.0
127,10.0
128,9.0
129,9.0
130,12.0
131,14.0
132,13.0
133,12.0
134,11.0
135,10.0
136,11.0
137,13.0
138,14.0
139,12.0
140,18.0
141,18.0
142,20.0
143,20.0
144,21.0
145,25.0
146,24.0
147,20.0
148,18.0
149,20.0
150,20.0
151,19.0
152,47.0
153,49.0
154,50.0
155,56.0
156,57.0
157,59.0
158,60.0
159,54.0
160,52.0
161,25.0
162,24.0
163,19.0
164,14.0
165,19.0
166,14.0
167,12.0
168,17.0
169,17.0
170,16.0
171,15.0
172,16.0
173,15.0
174,13.0
175,14.0
176,10.0
177,8.0
178,8.0
179,8.0
180,8.0
181,6.0
182,15.0
183,29.0
184,30.0
185,36.0
186,43.0
187,49.0
188,54.0
189,59.0
190,59.0
191,62.0
192,58.0
193,62.0
194,53.0
195,51.0
196,39.0
197,33.0
198,24.0
199,27.0
200,29.0
201,76.0
202,122.0
203,123.0
204,131.0
205,128.0
206,125.0
207,109.0
208,76.0
209,46.0
210,50.0
211,32.0
212,27.0
213,23.0
214,21.0
215,11.0
216,11.0
217,14.0
218,9.0
219,10.0
220,11.0
221,14.0
222,15.0
223,16.0
224,13.0
225,16.0
226,14.0
227,16.0
228,15.0
229,12.0
230,13.0
231,18.0
232,18.0
233,21.0
234,20.0
235,24.0
236,24.0
237,25.0
238,23.0
239,18.0
240,20.0
241,21.0
242,22.0
243,49.0
244,49.0
245,51.0
246,55.0
247,58.0
248,61.0
249,62.0
250,58.0
251,54.0
252,27.0
253,25.0
254,20.0
255,16.0
256,20.0
257,15.0
258,14.0
259,18.0
260,18.0
261,17.0
262,15.0
263,17.0
264,13.0
265,13.0
