Grid_Number,Government_Facilities
0,1.0
1,2.0
2,2.0
3,2.0
4,1.0
5,1.0
6,1.0
7,3.0
8,4.0
9,3.0
10,4.0
11,2.0
12,2.0
13,2.0
14,3.0
15,2.0
16,2.0
17,1.0
18,3.0
19,4.0
20,5.0
21,10.0
22,10.0
23,10.0
24,10.0
25,11.0
26,3.0
27,2.0
28,7.0
29,3.0
30,3.0
31,0.0
32,0.0
33,0.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,0.0
40,1.0
41,1.0
42,1.0
43,1.0
44,2.0
45,0.0
46,1.0
47,1.0
48,1.0
49,1.0
50,2.0
51,2.0
52,4.0
53,6.0
54,2.0
55,1.0
56,3.0
57,7.0
58,7.0
59,6.0
60,6.0
61,12.0
62,11.0
63,12.0
64,14.0
65,15.0
66,12.0
67,0.0
68,0.0
69,9.0
70,4.0
71,4.0
72,4.0
73,3.0
74,1.0
75,1.0
76,0.0
77,1.0
78,0.0
79,0.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,0.0
90,0.0
91,2.0
92,2.0
93,2.0
94,1.0
95,1.0
96,1.0
97,1.0
98,2.0
99,2.0
100,3.0
101,2.0
102,2.0
103,2.0
104,1.0
105,0.0
106,2.0
107,3.0
108,4.0
109,3.0
110,5.0
111,8.0
112,12.0
113,12.0
114,12.0
115,10.0
116,11.0
117,11.0
118,3.0
119,1.0
120,3.0
121,3.0
122,3.0
123,0.0
124,2.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,2.0
131,1.0
132,1.0
133,1.0
134,1.0
135,2.0
136,4.0
137,1.0
138,1.0
139,1.0
140,1.0
141,2.0
142,3.0
143,4.0
144,6.0
145,2.0
146,3.0
147,7.0
148,8.0
149,8.0
150,7.0
151,6.0
152,12.0
153,13.0
154,12.0
155,15.0
156,15.0
157,15.0
158,12.0
159,0.0
160,9.0
161,5.0
162,4.0
163,4.0
164,3.0
165,3.0
166,1.0
167,2.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,2.0
174,2.0
175,1.0
176,2.0
177,1.0
178,2.0
179,0.0
180,0.0
181,0.0
182,2.0
183,2.0
184,1.0
185,1.0
186,1.0
187,1.0
188,8.0
189,2.0
190,6.0
191,4.0
192,2.0
193,2.0
194,1.0
195,0.0
196,3.0
197,3.0
198,4.0
199,4.0
200,3.0
201,7.0
202,13.0
203,13.0
204,17.0
205,17.0
206,17.0
207,13.0
208,11.0
209,10.0
210,2.0
211,3.0
212,3.0
213,3.0
214,3.0
215,1.0
216,1.0
217,1.0
218,1.0
219,1.0
220,2.0
221,2.0
222,2.0
223,1.0
224,1.0
225,1.0
226,2.0
227,2.0
228,4.0
229,1.0
230,1.0
231,1.0
232,3.0
233,3.0
234,4.0
235,6.0
236,2.0
237,3.0
238,4.0
239,8.0
240,8.0
241,7.0
242,8.0
243,14.0
244,14.0
245,13.0
246,5.0
247,5.0
248,15.0
249,15.0
250,12.0
251,9.0
252,5.0
253,4.0
254,4.0
255,3.0
256,2.0
257,2.0
258,2.0
259,2.0
260,1.0
261,1.0
262,1.0
263,2.0
264,2.0
265,2.0
266,3.0
267,1.0
268,2.0
269,2.0
270,2.0
271,0.0
272,0.0
273,2.0
274,4.0
