Grid_Number,Health
0,1.0
1,2.0
2,2.0
3,0.0
4,4.0
5,4.0
6,4.0
7,3.0
8,3.0
9,3.0
10,2.0
11,2.0
12,2.0
13,2.0
14,3.0
15,3.0
16,4.0
17,4.0
18,3.0
19,5.0
20,8.0
21,14.0
22,18.0
23,20.0
24,20.0
25,14.0
26,10.0
27,9.0
28,8.0
29,6.0
30,4.0
31,3.0
32,3.0
33,3.0
34,4.0
35,4.0
36,3.0
37,0.0
38,3.0
39,3.0
40,4.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,3.0
47,3.0
48,3.0
49,2.0
50,3.0
51,5.0
52,6.0
53,6.0
54,0.0
55,6.0
56,5.0
57,6.0
58,6.0
59,3.0
60,3.0
61,8.0
62,8.0
63,7.0
64,7.0
65,7.0
66,8.0
67,0.0
68,0.0
69,4.0
70,3.0
71,3.0
72,3.0
73,3.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,0.0
80,0.0
81,0.0
82,1.0
83,1.0
84,1.0
85,0.0
86,0.0
87,0.0
88,1.0
89,0.0
90,1.0
91,1.0
92,2.0
93,2.0
94,4.0
95,4.0
96,4.0
97,4.0
98,3.0
99,3.0
100,2.0
101,2.0
102,2.0
103,2.0
104,2.0
105,2.0
106,4.0
107,4.0
108,4.0
109,4.0
110,12.0
111,29.0
112,46.0
113,41.0
114,40.0
115,25.0
116,22.0
117,14.0
118,9.0
119,9.0
120,6.0
121,7.0
122,5.0
123,5.0
124,5.0
125,5.0
126,3.0
127,3.0
128,6.0
129,5.0
130,5.0
131,4.0
132,4.0
133,1.0
134,1.0
135,1.0
136,3.0
137,4.0
138,3.0
139,3.0
140,4.0
141,3.0
142,6.0
143,6.0
144,6.0
145,0.0
146,6.0
147,7.0
148,6.0
149,6.0
150,3.0
151,4.0
152,8.0
153,8.0
154,7.0
155,7.0
156,7.0
157,8.0
158,8.0
159,0.0
160,4.0
161,3.0
162,3.0
163,3.0
164,3.0
165,3.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,0.0
172,1.0
173,1.0
174,1.0
175,0.0
176,0.0
177,0.0
178,1.0
179,1.0
180,1.0
181,0.0
182,1.0
183,2.0
184,3.0
185,4.0
186,4.0
187,5.0
188,6.0
189,6.0
190,5.0
191,2.0
192,3.0
193,3.0
194,2.0
195,2.0
196,5.0
197,4.0
198,4.0
199,4.0
200,10.0
201,33.0
202,54.0
203,56.0
204,48.0
205,48.0
206,47.0
207,38.0
208,22.0
209,10.0
210,9.0
211,7.0
212,7.0
213,5.0
214,5.0
215,8.0
216,8.0
217,5.0
218,6.0
219,6.0
220,5.0
221,2.0
222,2.0
223,4.0
224,3.0
225,1.0
226,3.0
227,3.0
228,4.0
229,3.0
230,3.0
231,4.0
232,4.0
233,6.0
234,6.0
235,6.0
236,7.0
237,7.0
238,7.0
239,6.0
240,6.0
241,6.0
242,4.0
243,8.0
244,8.0
245,7.0
246,7.0
247,7.0
248,8.0
249,0.0
250,0.0
251,4.0
252,3.0
253,3.0
254,3.0
255,3.0
256,3.0
257,1.0
258,1.0
259,1.0
260,1.0
261,0.0
262,1.0
263,1.0
264,1.0
265,0.0
266,0.0
267,0.0
268,1.0
269,1.0
270,1.0
271,1.0
272,1.0
273,1.0
274,2.0
275,3.0
