Grid_Number,Utilities
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,1.0
7,1.0
8,1.0
9,1.0
10,2.0
11,2.0
12,2.0
13,3.0
14,3.0
15,3.0
16,3.0
17,3.0
18,1.0
19,2.0
20,5.0
21,7.0
22,9.0
23,6.0
24,6.0
25,6.0
26,5.0
27,5.0
28,4.0
29,2.0
30,1.0
31,1.0
32,1.0
33,0.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,2.0
41,3.0
42,3.0
43,3.0
44,3.0
45,3.0
46,1.0
47,1.0
48,1.0
49,0.0
50,0.0
51,2.0
52,2.0
53,2.0
54,0.0
55,0.0
56,3.0
57,2.0
58,2.0
59,3.0
60,4.0
61,10.0
62,0.0
63,10.0
64,9.0
65,9.0
66,9.0
67,0.0
68,0.0
69,6.0
70,2.0
71,1.0
72,1.0
73,1.0
74,1.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,1.0
85,1.0
86,1.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,3.0
102,3.0
103,4.0
104,4.0
105,3.0
106,3.0
107,3.0
108,3.0
109,3.0
110,6.0
111,11.0
112,19.0
113,22.0
114,21.0
115,15.0
116,7.0
117,6.0
118,5.0
119,5.0
120,2.0
121,2.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,2.0
129,2.0
130,2.0
131,0.0
132,3.0
133,3.0
134,3.0
135,3.0
136,3.0
137,3.0
138,1.0
139,1.0
140,2.0
141,2.0
142,2.0
143,2.0
144,2.0
145,0.0
146,3.0
147,3.0
148,2.0
149,3.0
150,3.0
151,4.0
152,10.0
153,11.0
154,10.0
155,10.0
156,9.0
157,9.0
158,9.0
159,0.0
160,7.0
161,2.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,3.0
192,3.0
193,4.0
194,5.0
195,5.0
196,4.0
197,3.0
198,3.0
199,3.0
200,6.0
201,15.0
202,24.0
203,24.0
204,25.0
205,26.0
206,26.0
207,18.0
208,6.0
209,5.0
210,5.0
211,2.0
212,2.0
213,1.0
214,1.0
215,1.0
216,1.0
217,1.0
218,2.0
219,2.0
220,2.0
221,0.0
222,0.0
223,4.0
224,3.0
225,3.0
226,4.0
227,4.0
228,3.0
229,1.0
230,1.0
231,2.0
232,2.0
233,2.0
234,2.0
235,2.0
236,3.0
237,3.0
238,3.0
239,4.0
240,3.0
241,3.0
242,4.0
243,10.0
244,11.0
245,10.0
246,10.0
247,10.0
248,9.0
249,9.0
250,9.0
251,6.0
252,2.0
253,1.0
254,1.0
255,1.0
256,1.0
257,0.0
258,0.0
259,1.0
260,0.0
261,0.0
262,0.0
263,0.0
264,1.0
265,1.0
266,1.0
267,1.0
268,1.0
269,1.0
270,1.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,1.0
278,1.0
279,1.0
280,1.0
281,2.0
282,3.0
283,7.0
284,0.0
285,8.0
286,8.0
287,7.0
288,6.0
289,5.0
290,5.0
291,11.0
292,22.0
293,26.0
294,27.0
295,27.0
296,28.0
297,28.0
298,26.0
299,15.0
300,5.0
301,4.0
302,2.0
303,2.0
304,1.0
305,1.0
306,1.0
307,1.0
308,2.0
309,2.0
310,2.0
311,2.0
312,4.0
313,4.0
314,4.0
315,5.0
316,4.0
317,4.0
318,4.0
319,4.0
320,3.0
321,1.0
322,2.0
323,2.0
324,2.0
325,2.0
326,2.0
327,3.0
328,3.0
329,3.0
330,4.0
331,3.0
332,3.0
333,4.0
334,9.0
335,11.0
336,10.0
337,10.0
338,10.0
339,9.0
340,9.0
341,8.0
342,4.0
343,2.0
344,1.0
345,1.0
346,1.0
347,1.0
348,0.0
349,1.0
350,1.0
351,1.0
352,0.0
353,1.0
354,1.0
355,1.0
356,1.0
357,1.0
358,1.0
359,1.0
360,1.0
361,1.0
362,1.0
363,0.0
364,0.0
365,0.0
366,0.0
367,1.0
368,1.0
369,1.0
370,1.0
371,1.0
372,3.0
373,6.0
374,7.0
375,8.0
376,8.0
377,9.0
378,10.0
379,10.0
380,5.0
381,9.0
382,20.0
383,25.0
384,27.0
385,28.0
386,29.0
387,29.0
388,28.0
389,28.0
390,22.0
391,6.0
392,4.0
393,2.0
394,2.0
395,1.0
396,1.0
397,1.0
398,1.0
399,2.0
400,2.0
401,2.0
402,2.0
403,4.0
404,4.0
405,5.0
406,5.0
407,4.0
408,4.0
409,4.0
410,4.0
411,4.0
412,2.0
413,2.0
414,2.0
415,2.0
416,2.0
417,2.0
418,3.0
419,3.0
420,3.0
421,4.0
422,3.0
423,3.0
424,3.0
425,8.0
426,9.0
427,10.0
428,10.0
429,10.0
430,9.0
431,9.0
432,8.0
433,3.0
434,1.0
435,1.0
436,1.0
437,1.0
438,1.0
439,1.0
440,1.0
441,1.0
442,1.0
443,1.0
444,1.0
445,1.0
446,1.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,1.0
453,1.0
454,1.0
455,0.0
456,0.0
457,1.0
458,1.0
459,1.0
460,1.0
461,1.0
462,1.0
463,6.0
464,6.0
465,7.0
466,8.0
467,8.0
468,10.0
469,10.0
470,11.0
471,9.0
472,10.0
473,24.0
474,27.0
475,26.0
476,27.0
477,28.0
478,30.0
479,30.0
480,29.0
481,23.0
482,5.0
483,4.0
484,2.0
485,2.0
486,1.0
487,1.0
488,1.0
489,1.0
490,2.0
491,2.0
492,2.0
493,2.0
494,4.0
495,4.0
496,6.0
497,6.0
498,5.0
499,5.0
500,4.0
501,4.0
502,4.0
503,2.0
504,2.0
505,2.0
506,2.0
507,2.0
508,2.0
509,2.0
510,3.0
511,3.0
512,3.0
513,3.0
514,4.0
515,4.0
516,6.0
517,9.0
518,10.0
519,10.0
520,10.0
521,9.0
522,8.0
523,5.0
524,2.0
525,1.0
526,1.0
527,1.0
528,1.0
529,1.0
530,1.0
531,1.0
532,1.0
533,1.0
534,1.0
535,1.0
536,1.0
537,2.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,1.0
545,1.0
546,0.0
547,1.0
548,1.0
549,1.0
550,1.0
551,1.0
552,2.0
553,1.0
554,6.0
555,6.0
556,6.0
557,8.0
558,9.0
559,10.0
560,11.0
561,11.0
562,11.0
563,9.0
564,26.0
565,29.0
566,26.0
567,28.0
568,28.0
569,29.0
570,29.0
