Grid_Number,Education
0,10.0
1,16.0
2,21.0
3,32.0
4,40.0
5,45.0
6,43.0
7,39.0
8,38.0
9,28.0
10,24.0
11,19.0
12,12.0
13,5.0
14,5.0
15,4.0
16,4.0
17,4.0
18,2.0
19,4.0
20,5.0
21,5.0
22,7.0
23,10.0
24,16.0
25,18.0
26,18.0
27,16.0
28,16.0
29,21.0
30,21.0
31,18.0
32,13.0
33,8.0
34,7.0
35,9.0
36,6.0
37,7.0
38,6.0
39,5.0
40,5.0
41,5.0
42,5.0
43,5.0
44,4.0
45,18.0
46,26.0
47,37.0
48,49.0
49,46.0
50,45.0
51,51.0
52,58.0
53,60.0
54,72.0
55,62.0
56,67.0
57,69.0
58,71.0
59,65.0
60,57.0
61,49.0
62,48.0
63,38.0
64,35.0
65,40.0
66,36.0
67,45.0
68,49.0
69,48.0
70,53.0
71,50.0
72,46.0
73,78.0
74,120.0
75,149.0
76,153.0
77,148.0
78,135.0
79,15.0
80,21.0
81,34.0
82,44.0
83,59.0
84,60.0
85,65.0
86,70.0
87,66.0
88,52.0
89,33.0
90,24.0
91,16.0
92,8.0
93,5.0
94,6.0
95,5.0
96,5.0
97,2.0
98,6.0
99,5.0
100,5.0
101,7.0
102,10.0
103,19.0
104,21.0
105,24.0
106,22.0
107,24.0
108,23.0
109,23.0
110,19.0
111,16.0
112,9.0
113,8.0
114,9.0
115,9.0
116,7.0
117,6.0
118,5.0
119,5.0
120,5.0
121,7.0
122,9.0
123,12.0
124,24.0
125,32.0
126,47.0
127,58.0
128,54.0
129,52.0
130,58.0
131,65.0
132,72.0
133,78.0
134,78.0
135,82.0
136,85.0
137,89.0
138,85.0
139,70.0
140,59.0
141,50.0
142,50.0
143,49.0
144,45.0
145,45.0
146,53.0
147,52.0
148,55.0
149,62.0
150,60.0
151,58.0
152,95.0
153,163.0
154,164.0
155,158.0
156,152.0
157,142.0
158,18.0
159,30.0
160,42.0
161,61.0
162,81.0
163,90.0
164,93.0
165,82.0
166,74.0
167,71.0
168,60.0
169,31.0
170,17.0
171,13.0
172,10.0
173,9.0
174,6.0
175,5.0
176,5.0
177,6.0
178,6.0
179,5.0
180,8.0
181,18.0
182,28.0
183,31.0
184,33.0
185,34.0
186,32.0
187,27.0
188,26.0
189,19.0
190,16.0
191,10.0
192,8.0
193,11.0
194,10.0
195,7.0
196,5.0
197,5.0
198,5.0
199,5.0
200,7.0
201,10.0
202,17.0
203,30.0
204,52.0
205,62.0
206,69.0
207,71.0
208,70.0
209,65.0
210,79.0
211,78.0
212,92.0
213,99.0
214,106.0
215,106.0
216,100.0
217,91.0
218,79.0
219,71.0
220,49.0
221,54.0
222,51.0
223,48.0
224,53.0
225,58.0
226,61.0
227,70.0
228,69.0
229,67.0
230,62.0
231,111.0
232,178.0
233,173.0
234,165.0
235,156.0
236,145.0
237,31.0
238,50.0
239,59.0
240,72.0
241,101.0
242,106.0
243,104.0
244,100.0
245,94.0
246,82.0
247,73.0
248,52.0
249,19.0
250,12.0
251,11.0
252,10.0
253,8.0
254,6.0
255,6.0
256,7.0
257,7.0
258,9.0
259,16.0
260,27.0
261,36.0
262,36.0
263,38.0
264,35.0
265,35.0
266,30.0
267,26.0
268,24.0
269,14.0
270,10.0
271,9.0
272,11.0
273,10.0
274,7.0
275,5.0
276,5.0
277,5.0
278,6.0
279,7.0
280,16.0
281,21.0
282,38.0
283,52.0
284,63.0
285,66.0
286,72.0
287,76.0
288,80.0
289,85.0
290,80.0
291,102.0
292,107.0
293,108.0
294,110.0
295,116.0
296,112.0
297,94.0
298,81.0
299,56.0
300,61.0
301,57.0
302,53.0
303,63.0
304,60.0
305,60.0
306,72.0
307,74.0
308,75.0
309,68.0
310,112.0
311,181.0
312,178.0
313,168.0
314,158.0
315,148.0
316,37.0
317,50.0
318,66.0
319,86.0
320,115.0
321,113.0
322,115.0
323,116.0
324,111.0
325,100.0
326,85.0
327,65.0
328,36.0
329,17.0
330,14.0
331,11.0
332,8.0
333,8.0
334,5.0
335,9.0
336,10.0
337,14.0
338,23.0
339,27.0
340,40.0
341,46.0
342,49.0
343,48.0
344,44.0
345,38.0
