Grid_Number,Health
0,3.0
1,3.0
2,4.0
3,4.0
4,5.0
5,6.0
6,5.0
7,5.0
8,5.0
9,5.0
10,5.0
11,4.0
12,3.0
13,2.0
14,2.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,0.0
21,0.0
22,0.0
23,2.0
24,2.0
25,2.0
26,2.0
27,2.0
28,2.0
29,3.0
30,3.0
31,3.0
32,3.0
33,2.0
34,2.0
35,0.0
36,3.0
37,3.0
38,4.0
39,1.0
40,4.0
41,4.0
42,3.0
43,5.0
44,3.0
45,6.0
46,6.0
47,10.0
48,11.0
49,10.0
50,9.0
51,9.0
52,9.0
53,9.0
54,11.0
55,11.0
56,10.0
57,11.0
58,12.0
59,11.0
60,11.0
61,8.0
62,9.0
63,7.0
64,2.0
65,5.0
66,5.0
67,4.0
68,6.0
69,6.0
70,7.0
71,11.0
72,11.0
73,30.0
74,47.0
75,62.0
76,69.0
77,69.0
78,64.0
79,2.0
80,4.0
81,5.0
82,5.0
83,7.0
84,6.0
85,13.0
86,14.0
87,11.0
88,13.0
89,5.0
90,4.0
91,3.0
92,2.0
93,2.0
94,2.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,0.0
101,2.0
102,2.0
103,2.0
104,2.0
105,2.0
106,2.0
107,4.0
108,4.0
109,4.0
110,3.0
111,3.0
112,3.0
113,2.0
114,0.0
115,0.0
116,4.0
117,4.0
118,4.0
119,4.0
120,3.0
121,5.0
122,5.0
123,4.0
124,6.0
125,6.0
126,11.0
127,11.0
128,11.0
129,9.0
130,9.0
131,9.0
132,10.0
133,13.0
134,14.0
135,12.0
136,13.0
137,14.0
138,13.0
139,12.0
140,11.0
141,8.0
142,8.0
143,8.0
144,5.0
145,5.0
146,6.0
147,7.0
148,7.0
149,11.0
150,12.0
151,12.0
152,33.0
153,67.0
154,69.0
155,69.0
156,69.0
157,68.0
158,4.0
159,4.0
160,5.0
161,5.0
162,8.0
163,11.0
164,17.0
165,17.0
166,15.0
167,15.0
168,15.0
169,5.0
170,3.0
171,2.0
172,3.0
173,3.0
174,1.0
175,0.0
176,1.0
177,1.0
178,1.0
179,2.0
180,2.0
181,2.0
182,4.0
183,4.0
184,4.0
185,5.0
186,3.0
187,5.0
188,5.0
189,4.0
190,2.0
191,3.0
192,3.0
193,0.0
194,1.0
195,4.0
196,4.0
197,4.0
198,4.0
199,3.0
200,5.0
201,5.0
202,4.0
203,4.0
204,12.0
205,0.0
206,0.0
207,11.0
208,12.0
209,9.0
210,9.0
211,12.0
212,14.0
213,15.0
214,13.0
215,13.0
216,14.0
217,14.0
218,13.0
219,13.0
220,7.0
221,9.0
222,8.0
223,5.0
224,5.0
225,7.0
226,7.0
227,7.0
228,13.0
229,14.0
230,13.0
231,43.0
232,71.0
233,71.0
234,69.0
235,69.0
236,68.0
237,4.0
238,4.0
239,5.0
240,5.0
241,17.0
242,18.0
243,17.0
244,17.0
245,17.0
246,15.0
247,14.0
248,13.0
249,3.0
250,3.0
251,3.0
252,1.0
253,1.0
254,1.0
255,0.0
256,1.0
257,2.0
258,2.0
259,2.0
260,5.0
261,5.0
262,5.0
263,6.0
264,6.0
265,7.0
266,3.0
267,5.0
268,5.0
269,5.0
270,2.0
271,3.0
272,4.0
273,0.0
274,4.0
275,4.0
276,4.0
277,4.0
278,3.0
279,5.0
280,4.0
281,4.0
282,10.0
283,12.0
284,16.0
285,11.0
286,17.0
287,16.0
288,11.0
289,10.0
290,10.0
291,15.0
292,15.0
293,13.0
294,13.0
295,14.0
296,14.0
297,14.0
298,13.0
299,8.0
300,8.0
301,8.0
302,6.0
303,7.0
304,8.0
305,8.0
306,10.0
307,13.0
308,14.0
309,13.0
310,50.0
311,73.0
312,73.0
313,71.0
314,71.0
315,70.0
316,4.0
317,4.0
318,4.0
319,9.0
320,16.0
321,17.0
322,18.0
323,17.0
324,18.0
325,19.0
326,15.0
327,15.0
328,5.0
329,3.0
330,3.0
331,3.0
332,1.0
333,0.0
334,0.0
335,3.0
336,2.0
337,2.0
338,5.0
339,6.0
340,7.0
341,7.0
342,3.0
343,8.0
344,7.0
345,7.0
346,5.0
347,5.0
348,5.0
349,4.0
350,3.0
351,3.0
352,4.0
353,3.0
354,4.0
355,4.0
356,4.0
357,4.0
358,3.0
359,4.0
360,9.0
361,10.0
362,10.0
363,13.0
364,17.0
365,17.0
366,16.0
367,15.0
368,11.0
369,10.0
370,13.0
371,11.0
372,14.0
373,17.0
374,18.0
375,17.0
376,17.0
377,12.0
378,10.0
379,6.0
380,8.0
381,7.0
382,7.0
383,8.0
384,8.0
385,8.0
386,13.0
387,14.0
388,13.0
389,47.0
390,69.0
391,19.0
392,71.0
393,71.0
394,70.0
395,3.0
396,3.0
397,6.0
398,14.0
399,12.0
400,17.0
401,17.0
402,18.0
403,20.0
404,19.0
405,19.0
406,17.0
407,9.0
408,4.0
409,3.0
410,3.0
411,3.0
412,0.0
413,3.0
414,3.0
415,2.0
416,3.0
417,6.0
418,7.0
419,8.0
420,5.0
421,5.0
422,5.0
423,3.0
424,7.0
425,7.0
426,5.0
427,5.0
428,5.0
429,3.0
430,3.0
431,2.0
432,3.0
433,2.0
434,3.0
435,3.0
436,2.0
437,3.0
438,4.0
439,6.0
440,10.0
441,10.0
442,10.0
443,14.0
444,14.0
445,14.0
446,13.0
447,11.0
448,9.0
449,14.0
450,13.0
451,18.0
452,23.0
453,27.0
454,19.0
455,20.0
456,13.0
457,7.0
458,6.0
459,6.0
460,6.0
461,6.0
462,7.0
463,8.0
464,8.0
465,12.0
466,12.0
467,13.0
468,36.0
469,60.0
470,68.0
471,72.0
472,71.0
473,70.0
474,4.0
475,4.0
476,6.0
477,14.0
478,16.0
479,17.0
480,17.0
481,19.0
482,19.0
483,19.0
484,19.0
485,17.0
486,9.0
487,7.0
488,3.0
489,3.0
490,3.0
491,3.0
492,3.0
493,3.0
494,4.0
495,4.0
496,7.0
497,9.0
498,9.0
499,5.0
500,5.0
501,5.0
502,5.0
503,9.0
504,7.0
505,5.0
506,5.0
507,5.0
508,3.0
509,3.0
510,2.0
511,2.0
512,2.0
513,2.0
514,2.0
515,2.0
516,2.0
517,5.0
518,6.0
519,6.0
520,10.0
521,10.0
522,9.0
523,13.0
524,13.0
525,13.0
526,12.0
527,9.0
528,13.0
529,16.0
530,28.0
531,30.0
532,31.0
533,32.0
534,31.0
535,21.0
536,9.0
537,5.0
538,5.0
539,4.0
540,6.0
541,6.0
542,8.0
543,10.0
544,13.0
545,17.0
546,19.0
547,22.0
548,45.0
549,54.0
550,61.0
551,66.0
