Grid_Number,Utilities
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,0.0
20,0.0
21,0.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,2.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,1.0
37,1.0
38,1.0
39,0.0
40,0.0
41,0.0
42,1.0
43,1.0
44,2.0
45,2.0
46,2.0
47,3.0
48,3.0
49,3.0
50,3.0
51,3.0
52,3.0
53,3.0
54,5.0
55,5.0
56,5.0
57,5.0
58,5.0
59,5.0
60,4.0
61,3.0
62,3.0
63,2.0
64,2.0
65,2.0
66,2.0
67,2.0
68,2.0
69,2.0
70,2.0
71,2.0
72,1.0
73,6.0
74,10.0
75,13.0
76,13.0
77,14.0
78,14.0
79,2.0
80,0.0
81,2.0
82,2.0
83,2.0
84,3.0
85,6.0
86,6.0
87,6.0
88,3.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,0.0
100,1.0
101,1.0
102,1.0
103,1.0
104,2.0
105,2.0
106,1.0
107,2.0
108,2.0
109,2.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,1.0
117,1.0
118,1.0
119,0.0
120,1.0
121,1.0
122,1.0
123,2.0
124,2.0
125,2.0
126,3.0
127,3.0
128,3.0
129,3.0
130,3.0
131,4.0
132,3.0
133,5.0
134,5.0
135,6.0
136,6.0
137,6.0
138,6.0
139,5.0
140,4.0
141,3.0
142,2.0
143,2.0
144,2.0
145,2.0
146,2.0
147,2.0
148,2.0
149,2.0
150,2.0
151,2.0
152,8.0
153,13.0
154,14.0
155,14.0
156,14.0
157,14.0
158,0.0
159,3.0
160,3.0
161,3.0
162,3.0
163,7.0
164,7.0
165,6.0
166,6.0
167,6.0
168,5.0
169,1.0
170,1.0
171,1.0
172,0.0
173,0.0
174,0.0
175,0.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,2.0
182,2.0
183,2.0
184,2.0
185,2.0
186,3.0
187,2.0
188,2.0
189,2.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
202,2.0
203,2.0
204,5.0
205,0.0
206,6.0
207,6.0
