Voronoi_Sites_Lat,Voronoi_Sites_Lon,Catchment_Polygon_Population,Catchment_Polygon_Area,Voronoi_Sites_Grid_Number
25.1319989,85.8524205,-1.0,-1.0,314.0
25.1344311,85.8865446,-1.0,-1.0,551.0
24.4093985,85.8913695,-1.0,-1.0,557.0
25.133698,85.92072,-1.0,-1.0,867.0
25.1331112,85.9530422,-1.0,-1.0,1104.0
25.133048,85.952789,-1.0,-1.0,1104.0
24.4233466,85.9661789,-1.0,-1.0,1112.0
25.132506,85.973681,-1.0,-1.0,1262.0
25.14256709999999,86.0123026,-1.0,-1.0,1579.0
24.4095734,86.02632009999999,-1.0,-1.0,1584.0
24.4081652,86.0960461,-1.0,-1.0,2137.0
25.1450409,86.133763,-1.0,-1.0,2527.0
25.12447,86.14515999999999,-1.0,-1.0,2604.0
25.1054353,86.1558159,-1.0,-1.0,2681.0
25.1054256,86.1558193,-1.0,-1.0,2681.0
25.11114,86.15249999999999,-1.0,-1.0,2682.0
25.05145,86.18531999999999,-1.0,-1.0,2913.0
25.0357501,86.1993676,-1.0,-1.0,2990.0
25.02291,86.21167,-1.0,-1.0,3147.0
25.0092297,86.2244174,-1.0,-1.0,3224.0
24.98816,86.24443,35719.0,99.1914527270981,3380.0
24.9722861,86.2551484,58999.0,79.35611658117612,3458.0
24.9382809,86.2754738,125496.0,85.46414063039259,3612.0
24.908542,86.293449,119178.0,131.5257175522127,3767.0
24.8565903,86.32450329999999,179659.0,231.73323340286456,3999.0
24.8278055,86.3510878,69067.0,213.6311338658352,4233.0
24.7720396,86.3861055,218400.0,358.63543477999735,4465.0
24.75604999999999,86.422,63847.0,192.14498955391963,4779.0
24.7439007,86.45806420000001,82832.0,168.543254323555,5015.0
24.74117,86.49833,-1.0,-1.0,5331.0
24.7135489,86.5423434,-1.0,-1.0,5723.0
24.6942049,86.55688579999999,-1.0,-1.0,5800.0
24.6406567,86.6004155,-1.0,-1.0,6190.0
24.5691709,86.61374459999999,-1.0,-1.0,6261.0
24.9955353,85.94690589999999,107982.0,136.92592290047375,1011.0
24.9407324,85.8292723,-1.0,-1.0,58.0
25.0773381,85.9303348,77214.0,94.75504154863145,940.0
24.9392856,85.9674982,388339.0,656.7996960146013,1163.0
24.93295250000001,86.22672759999999,380700.0,347.4522278778755,3217.0
25.1025245,86.5953541,-1.0,-1.0,6157.0
